啊	/ā/	À, ừ (biểu thị cảm thán)
爱情	/àiqíng/	Tình yêu
爱心	/àixīn/	Lòng từ bi, sự quan tâm
安检	/ānjiǎn/	Kiểm tra an ninh
安排	/ānpái/	Sắp xếp, bố trí
按	/àn/	Nhấn, đẩy; theo
按时	/ànshí/	Đúng giờ, đúng hạn
按照	/ànzhào/	Theo, dựa theo
白酒	/báijiǔ/	Rượu trắng (rượu mạnh)
办公	/bàngōng/	Làm việc văn phòng, xử lý công việc
办理	/bànlǐ/	Làm, giải quyết (thủ tục)
办事	/bànshì/	Xử lý công việc, lo việc
棒	/bàng/	Tuyệt vời, giỏi; cái gậy, cái que
保护	/bǎohù/	Bảo vệ
保证	/bǎozhèng/	Đảm bảo, cam kết; sự đảm bảo
抱	/bào/	Ôm, bế
报考	/bàokǎo/	Đăng ký thi
报名	/bàomíng/	Đăng ký tham gia
抱歉	/bàoqiàn/	Xin lỗi, lấy làm tiếc
背	/bēi/	Vác, đeo trên lưng
背包	/bēibāo/	Ba lô, balo
北部	/běibù/	Phần phía Bắc
倍	/bèi/	Lần (gấp bội)
本科	/běnkē/	Chương trình đại học (cử nhân)
本来	/běnlái/	Nguyên bản, ban đầu; thực ra, vốn dĩ
笨	/bèn/	Ngốc, ngu ngốc
鼻子	/bízi/	Mũi
笔试	/bǐshì/	Thi viết, làm bài kiểm tra viết
毕业	/bìyè/	Tốt nghiệp
毕业生	/bìyèshēng/	Sinh viên tốt nghiệp
便于	/biànyú/	Tiện cho, dễ dàng
标准	/biāozhǔn/	Tiêu chuẩn; chuẩn, điển hình
表	/biǎo/	Đồng hồ, bảng biểu; biểu lộ
表格	/biǎogé/	Bảng biểu, form
表示	/biǎoshì/	Biểu thị, thể hiện
表现	/biǎoxiàn/	Thể hiện, biểu hiện
表扬	/biǎoyáng/	Khen ngợi
饼干	/bǐnggān/	Bánh quy, bánh bích quy
并	/bìng/	Kết hợp; thực sự; và, cũng
并且	/bìngqiě/	Và, hơn nữa
播放	/bōfàng/	Phát sóng, phát lại
博士	/bóshì/	Tiến sĩ
不必	/búbì/	Không cần, không phải
不便	/búbiàn/	Bất tiện; thiếu tiền
不断	/búduàn/	Không ngừng; liên tục
不够	/búgòu/	Không đủ; không đủ mức
不过	/búguò/	Nhưng, tuy nhiên; chỉ, mà thôi
不论	/búlùn/	Dù, bất kể
步	/bù/	Bước chân, bước tiến
部	/bù/	Bộ phận, bộ; (đơn vị cho sách, máy móc)
不得不	/bùdébù/	Phải, không thể không
部分	/bùfen/	Phần, bộ phận
不管	/bùguǎn/	Dù, bất kể
不光	/bùguāng/	Không chỉ; không chỉ… mà còn
不仅	/bùjǐn/	Không chỉ
不满	/bùmǎn/	Không hài lòng
部门	/bùmén/	Bộ phận, ban ngành
不如	/bùrú/	Không bằng, kém hơn
擦	/cā/	Lau, chùi
猜	/cāi/	Đoán
材料	/cáiliào/	Tài liệu, vật liệu
参观	/cānguān/	Thăm quan
参赛	/cānsài/	Tham gia thi đấu
餐厅	/cāntīng/	Nhà hàng, căng tin
操场	/cāochǎng/	Sân thể thao
厕所	/cèsuǒ/	Nhà vệ sinh
查看	/chákàn/	Kiểm tra, xem
茶叶	/cháyè/	Lá trà
查找	/cházhǎo/	Tìm kiếm
差点儿	/chàdiǎnr/	Kém, không tốt lắm; suýt nữa
产生	/chǎnshēng/	Sinh ra, tạo ra
厂	/chǎng/	Nhà máy
场	/chǎng/	(đơn vị cho sự kiện, buổi biểu diễn)
超过	/chāoguò/	Vượt quá
车速	/chēsù/	Tốc độ xe
车位	/chēwèi/	Chỗ đỗ xe
城	/chéng/	Thành phố
乘	/chéng/	Đi (xe), nhân
成功	/chénggōng/	Thành công; thành công
乘客	/chéngkè/	Hành khách
诚实	/chéngshí/	Trung thực
成为	/chéngwéi/	Trở thành
乘坐	/chéngzuò/	Đi (phương tiện)
吃惊	/chījīng/	Ngạc nhiên, giật mình
迟	/chí/	Muộn, chậm trễ
重	/chóng/	Lại, lần nữa; lặp lại
重新	/chóngxīn/	Lại, từ đầu
出差	/chūchāi/	Công tác
出口	/chūkǒu/	Lối ra; xuất khẩu
出现	/chūxiàn/	Xuất hiện
出行	/chūxíng/	Đi ra ngoài, di chuyển
出租	/chūzū/	Cho thuê
厨房	/chúfáng/	Nhà bếp
厨师	/chúshī/	Đầu bếp
窗	/chuāng/	Cửa sổ
窗户	/chuānghu/	Cửa sổ
吹	/chuī/	Thổi
词语	/cíyǔ/	Từ ngữ
此	/cǐ/	Này, cái này
此次	/cǐcì/	Lần này
此外	/cǐwài/	Ngoài ra, hơn nữa
从此	/cóngcǐ/	Từ nay về sau
从来	/cónglái/	Từ trước đến nay, chưa từng
从中	/cóngzhōng/	Trong đó
粗	/cū/	Thô, to
粗心	/cūxīn/	Cẩu thả
村	/cūn/	Làng
存	/cún/	Lưu trữ, tồn tại
错过	/cuòguò/	Bỏ lỡ
错误	/cuòwù/	Sai; lỗi
答应	/dāying/	Đồng ý, hứa
答	/dá/	Trả lời
答案	/dá’àn/	Câu trả lời, đáp án
达到	/dádào/	Đạt được
打招呼	/dǎ zhāohu/	Chào hỏi
打败	/dǎbài/	Đánh bại
打工	/dǎgōng/	Làm việc tạm thời
打扰	/dǎrǎo/	Làm phiền
打印	/dǎyìn/	In ấn
打印机	/dǎyìnjī/	Máy in
打折	/dǎzhé/	Giảm giá
打针	/dǎzhēn/	Tiêm thuốc
大巴	/dàbā/	Xe buýt lớn
大大	/dàdà/	Rất nhiều, đáng kể
大夫	/dàifu/	Bác sĩ
大量	/dàliàng/	Lượng lớn
大赛	/dàsài/	Cuộc thi lớn
大厅	/dàtīng/	Sảnh lớn
大约	/dàyuē/	Khoảng chừng
大自然	/dàzìrán/	Thiên nhiên
待	/dāi/	Ở lại
戴	/dài/	Đeo, đội
袋子	/dàizi/	Túi
单位	/dānwèi/	Đơn vị, cơ quan
当	/dāng/	Làm, đảm nhận; khi
当时	/dāngshí/	Lúc đó
刀	/dāo/	Dao
导游	/dǎoyóu/	Hướng dẫn viên du lịch; hướng dẫn du lịch
倒	/dào/	Đổ, ngã; ngược lại
道	/dào/	Đường, cách; (cho vật dài)
到底	/dàodǐ/	Rốt cuộc, cuối cùng
到来	/dàolái/	Đến, tới
道路	/dàolù/	Đường sá
道歉	/dàoqiàn/	Xin lỗi
得意	/déyì/	Tự mãn, đắc ý
登机	/dēngjī/	Lên máy bay
等	/děng/	Và v.v.; cấp bậc; (đơn vị)
等到	/děngdào/	Cho đến khi
低	/dī/	Thấp; hạ thấp
低价	/dījià/	Giá thấp
低温	/dīwēn/	Nhiệt độ thấp
低于	/dīyú/	Thấp hơn
底	/dǐ/	Đáy, nền
底下	/dǐxia/	Bên dưới
地球	/dìqiú/	Trái đất
地址	/dìzhǐ/	Địa chỉ
点名	/diǎnmíng/	Điểm danh
点头	/diǎntóu/	Gật đầu
电动车	/diàndòngchē/	Xe điện
电视剧	/diànshìjù/	Phim truyền hình
掉	/diào/	Rơi, rơi xuống
调查	/diàochá/	Điều tra
订	/dìng/	Đặt, đặt trước
定	/dìng/	Xác định, ấn định
东部	/dōngbù/	Phần phía Đông
动车	/dòngchē/	Tàu cao tốc
动作	/dòngzuò/	Động tác, hành động
读者	/dúzhě/	Người đọc
堵车	/dǔchē/	Kẹt xe
度假	/dùjià/	Nghỉ dưỡng
肚子	/dùzi/	Bụng
短信	/duǎnxìn/	Tin nhắn
队	/duì/	Đội; (cho đội nhóm)
对方	/duìfāng/	Bên kia, đối phương
对面	/duìmiàn/	Phía đối diện
对于	/duìyú/	Đối với
队员	/duìyuán/	Thành viên đội
队长	/duìzhǎng/	Đội trưởng
顿	/dùn/	(cho bữa ăn); dừng lại
多么	/duōme/	Biết bao, thật là
多数	/duōshù/	Đa số
多样	/duōyàng/	Đa dạng
而	/ér/	Nhưng, mà
儿童	/értóng/	Trẻ em
发出	/fāchū/	Phát ra
发送	/fāsòng/	Gửi
法	/fǎ/	Pháp luật
法律	/fǎlǜ/	Luật pháp
翻译	/fānyì/	Dịch; bản dịch
烦	/fán/	Phiền, bực; làm phiền
烦恼	/fánnǎo/	Lo lắng, phiền não
反对	/fǎnduì/	Phản đối
方面	/fāngmiàn/	Phương diện, mặt
方式	/fāngshì/	Cách thức
房东	/fángdōng/	Chủ nhà
房租	/fángzū/	Tiền thuê nhà
放弃	/fàngqì/	Bỏ cuộc
放松	/fàngsōng/	Thư giãn
费	/fèi/	Phí; tiêu tốn
费用	/fèiyong/	Chi phí
分数	/fēnshù/	Điểm số, điểm thi, phân số
分为	/fēnwéi/	Được chia thành
份	/fèn/	Bản, phần (dùng cho bản sao, phần chia)
丰富	/fēngfù/	Phong phú, dồi dào
风景	/fēngjǐng/	Phong cảnh, cảnh quan
否则	/fǒuzé/	Nếu không thì, bằng không
幅	/fú/	Tấm, bức (dùng cho tranh, ảnh)
符合	/fúhé/	Phù hợp, đúng với
付	/fù/	Trả tiền
父母	/fùmǔ/	Cha mẹ
父女	/fùnǚ/	Cha và con gái
父亲	/fùqīn/	Cha
复印	/fùyìn/	Photocopy, sao chép
复杂	/fùzá/	Phức tạp, phức
负责	/fùzé/	Chịu trách nhiệm; có trách nhiệm
负责人	/fùzérén/	Người phụ trách
父子	/fùzǐ/	Cha và con trai
改	/gǎi/	Sửa, thay đổi
改变	/gǎibiàn/	Thay đổi
干	/gān/	Khô; đồ khô
干杯	/gānbēi/	Cạn ly, cheers
赶	/gǎn/	Vội vã, đuổi kịp
敢	/gǎn/	Dám
感	/gǎn/	Cảm giác, cảm (dùng sau từ)
感动	/gǎndòng/	Cảm động; làm cảm động
赶紧	/gǎnjǐn/	Nhanh chóng, lập tức
感觉	/gǎnjué/	Cảm giác; cảm thấy
赶快	/gǎnkuài/	Nhanh lên, mau mau
感情	/gǎnqíng/	Tình cảm, cảm xúc
感人	/gǎnrén/	Cảm động, xúc động
赶上	/gǎnshàng/	Đuổi kịp, bắt kịp
感受	/gǎnshòu/	Cảm nhận; trải nghiệm
感谢	/gǎnxiè/	Cảm ơn
干活儿	/gànhuór/	Làm việc
钢琴	/gāngqín/	Đàn piano
高价	/gāojià/	Giá cao
高考	/gāokǎo/	Kỳ thi đại học (Gaokao)
高速	/gāosù/	Tốc độ cao
高温	/gāowēn/	Nhiệt độ cao
高于	/gāoyú/	Cao hơn
胳膊	/gēbo/	Cánh tay
歌声	/gēshēng/	Tiếng hát
歌手	/gēshǒu/	Ca sĩ
各	/gè/	Mỗi, từng; lần lượt
各地	/gèdì/	Khắp nơi, các nơi
各个	/gègè/	Từng cái, mỗi; từng người một
各位	/gèwèi/	Mọi người (lịch sự)
各种	/gèzhǒng/	Các loại, đủ loại
更加	/gèngjiā/	Càng, càng thêm
工厂	/gōngchǎng/	Nhà máy
功夫	/gōngfu/	Kungfu, kỹ năng, công phu
公共	/gōnggòng/	Công cộng
功课	/gōngkè/	Bài tập, bài vở
公里	/gōnglǐ/	Kilômét
公路	/gōnglù/	Đường cao tốc, đường bộ
工人	/gōngrén/	Công nhân
工资	/gōngzī/	Lương, tiền lương
共	/gòng/	Cùng, tổng cộng
共同	/gòngtóng/	Chung, cùng
够	/gòu/	Đủ; đủ mức
购买	/gòumǎi/	Mua sắm
购物	/gòuwù/	Mua sắm
估计	/gūjì/	Ước tính, đoán
姑娘	/gūniang/	Cô gái
鼓励	/gǔlì/	Khuyến khích
顾客	/gùkè/	Khách hàng
故意	/gùyì/	Cố ý, cố tình
挂	/guà/	Treo, móc
关键	/guānjiàn/	Chìa khóa, mấu chốt; quan trọng
观看	/guānkàn/	Xem, quan sát
观众	/guānzhòng/	Khán giả
管	/guǎn/	Quản lý, quan tâm; ống; (đơn vị cho ống)
管理	/guǎnlǐ/	Quản lý
光	/guāng/	Ánh sáng; sáng bóng; dùng hết; chỉ
广播	/guǎngbō/	Phát thanh; đài phát thanh
广告	/guǎnggào/	Quảng cáo
逛	/guàng/	Dạo, đi dạo
规定	/guīdìng/	Quy định; quy tắc
国籍	/guójí/	Quốc tịch
国际	/guójì/	Quốc tế; thế giới
果汁	/guǒzhī/	Nước trái cây
过程	/guòchéng/	Quá trình
海洋	/hǎiyáng/	Đại dương
害羞	/hàixiū/	Ngượng ngùng, xấu hổ
寒假	/hánjià/	Kỳ nghỉ đông
寒冷	/hánlěng/	Lạnh giá
喊	/hǎn/	Hét, gọi to
汗	/hàn/	Mồ hôi
航班	/hángbān/	Chuyến bay
好处	/hǎochù/	Lợi ích
好好	/hǎohǎo/	Tốt, đàng hoàng; chăm chỉ
好笑	/hǎoxiào/	Buồn cười, hài hước
合格	/hégé/	Đạt chuẩn, đủ tiêu chuẩn
盒子	/hézi/	Hộp
红包	/hóngbāo/	Bao lì xì
厚	/hòu/	Dày
后悔	/hòuhuǐ/	Hối hận
忽然	/hūrán/	Bỗng nhiên, đột nhiên
互联网	/hùliánwǎng/	Internet
护士	/hùshi/	Y tá
互相	/hùxiāng/	Lẫn nhau, với nhau
话剧	/huàjù/	Kịch nói
怀疑	/huáiyí/	Nghi ngờ
坏处	/huàichù/	Tác hại, nhược điểm
环保	/huánbǎo/	Bảo vệ môi trường; thân thiện với môi trường
换乘	/huànchéng/	Đổi xe, chuyển tuyến
回复	/huífù/	Trả lời
回信	/huíxìn/	Trả lời thư; thư trả lời
回忆	/huíyì/	Hồi tưởng
会员	/huìyuán/	Hội viên, thành viên
活	/huó/	Sống; sống động; công việc
活动	/huódòng/	Hoạt động; sự kiện
活泼	/huópō/	Hoạt bát, vui vẻ
火	/huǒ/	Lửa; nóng, phổ biến
货	/huò/	Hàng hóa
获得	/huòdé/	Nhận được, đạt được
获奖	/huòjiǎng/	Đoạt giải
获取	/huòqǔ/	Thu được, lấy được
基本	/jīběn/	Cơ bản; cơ bản là
基本上	/jīběnshàng/	Về cơ bản
基础	/jīchǔ/	Nền tảng, cơ sở
激动	/jīdòng/	Phấn khích; làm xúc động
积极	/jījí/	Tích cực
积累	/jīlěi/	Tích lũy
及时	/jíshí/	Kịp thời; ngay lập tức
即使	/jíshǐ/	Dù, ngay cả khi
既	/jì/	Đã; vừa… vừa…
寄	/jì/	Gửi
计划	/jìhuà/	Kế hoạch; lập kế hoạch
既然	/jìrán/	Đã vậy, vì đã
技术	/jìshù/	Công nghệ, kỹ thuật
继续	/jìxù/	Tiếp tục
记者	/jìzhě/	Nhà báo
加班	/jiābān/	Làm thêm giờ
家具	/jiājù/	Đồ nội thất
加快	/jiākuài/	Tăng tốc, đẩy nhanh
加强	/jiāqiáng/	Tăng cường
加入	/jiārù/	Tham gia, gia nhập
加上	/jiāshàng/	Thêm vào, cộng với
家庭	/jiātíng/	Gia đình
家乡	/jiāxiāng/	Quê hương
加油	/jiāyóu/	Đổ xăng; cố lên
加油站	/jiāyóuzhàn/	Trạm xăng
家长	/jiāzhǎng/	Phụ huynh, chủ gia đình
假	/jiǎ/	Giả, giả mạo
价格	/jiàgé/	Giá cả
价钱	/jiàqián/	Giá tiền
假日	/jiàrì/	Ngày nghỉ, kỳ nghỉ
减	/jiǎn/	Giảm, trừ
减轻	/jiǎnqīng/	Giảm nhẹ
减少	/jiǎnshǎo/	Giảm bớt
健身	/jiànshēn/	Tập gym, rèn luyện sức khỏe
健身房	/jiànshēnfáng/	Phòng gym
建议	/jiànyì/	Đề nghị; lời khuyên
江	/jiāng/	Sông
