		
岸	/àn/	Bờ, bờ sông, bờ biển
案例	/ànlì/	Trường hợp, ví dụ, án lệ
按摩	/ànmó/	Mát-xa, xoa bóp
暗示	/ànshì/	Ám chỉ, gợi ý ngầm
昂贵	/ángguì/	Đắt đỏ, đắt tiền
白白	/báibái/	Uổng công, vô ích
白领	/báilǐng/	Nhân viên văn phòng, dân công sở
摆	/bǎi/	Đặt, bày, sắp xếp
摆放	/bǎifàng/	Bày biện, sắp đặt
百分点	/bǎifēndiǎn/	Điểm phần trăm
百货	/bǎihuò/	Bách hóa, cửa hàng bách hóa
摆脱	/bǎituō/	Thoát khỏi, thoát ly
败	/bài/	Thua, thất bại
拜访	/bàifǎng/	Thăm viếng, viếng thăm
拜年	/bàinián/	Chúc Tết, bái niên
版	/bǎn/	Phiên bản, bản; từ chỉ bản xuất bản
版本	/bǎnběn/	Phiên bản
伴随	/bànsuí/	Đi kèm, đồng hành
扮演	/bànyǎn/	Đóng vai, thủ vai
榜样	/bǎngyàng/	Gương mẫu, tấm gương
棒球	/bàngqiú/	Bóng chày
保管	/bǎoguǎn/	Giữ gìn, cất giữ, bảo quản
保健	/bǎojiàn/	Chăm sóc sức khỏe, bảo vệ sức khỏe
保暖	/bǎonuǎn/	Giữ ấm
保修	/bǎoxiū/	Bảo hành
保障	/bǎozhàng/	Bảo đảm, đảm bảo
爆	/bào/	Nổ, bùng nổ
爆发	/bàofā/	Bùng nổ, bùng phát
报刊	/bàokān/	Báo chí, báo và tạp chí
暴力	/bàolì/	Bạo lực
暴露	/bàolù/	Phơi bày, bộc lộ, lộ ra
报社	/bàoshè/	Tòa soạn báo, toà báo
爆炸	/bàozhà/	Nổ, phát nổ
悲观	/bēiguān/	Bi quan
悲剧	/bēijù/	Bi kịch
悲伤	/bēishāng/	Buồn bã, bi thương
北极	/běijí/	Bắc Cực
北美洲	/Běiměizhōu/	Bắc Mỹ
被动	/bèidòng/	Bị động
被迫	/bèipò/	Bị ép buộc, bị bắt buộc
