
妥 | tuǒ | satisfactory, appropriate
谣 | yáo | sing; folksong, ballad; rumor
缸 | gāng | earthen jug, crock, cistern
芒 | máng | Miscanthus sinensis
陵 | líng | hill, mound; mausoleum
雯 | wén | cloud patterns, coloring of cloud
轨 | guǐ | track, rut, path
虾 | xiā | shrimp, prawn
寸 | cùn | inch; small, tiny; rad. no. 41
呦 | yōu | the bleating of the deer
洒 | sǎ | sprinkle, splash; scatter, throw
贞 | zhēn | virtuous, chaste, pure; loyal
蜂 | fēng | bee, wasp, hornet
钻 | zuàn | drill, bore; pierce; diamond
厕 | cè | toilet, lavatory; mingle with
鹤 | hè | crane; Grus species (various)
摔 | shuāi | fall ground, stumble, trip
盒 | hé | small box or case; casket
虫 | chóng | worms; insects
氛 | fēn | gas, vapor, air
悄 | qiǎo | silent, quiet, still; anxious
霖 | lín | long spell of rain, copious rain
愧 | kuì | ashamed, conscience-stricken
斜 | xié | slanting, sloping, inclined
尸 | shī | corpse, carcass
循 | xún | obey, comply with, follow
俩 | liǎ | clever, skilled; two, pair
堡 | bǎo | fort, fortress; town, village
旺 | wàng | prosper; prosperous; increase
恶 | è | evil, wicked, bad, foul
叉 | cha | crotch; fork, prong
燕 | yàn | swallow (bird); comfort, enjoy
津 | jīn | ferry; saliva; ford
臣 | chén | minister, statesman, official
丧 | sāng | mourning; mourn; funeral
茂 | mào | thick, lush, dense; talented
椅 | yǐ | chair, seat
缠 | chán | wrap, wind around; tie, bind
刑 | xíng | punishment, penalty; law
脉 | mò | blood vessels, veins, arteries
杉 | shān | various species of pine and fir
泊 | bó | anchor vessel; lie at anchor
撒 | sǎ | release, cast away, let go; disperse; relax
递 | dì | hand over, deliver; substitute
疲 | pí | feel tired, be exhausted; weak
杆 | gǎn | pole; stick; club; pole as unit
趁 | chèn | take advantage of, avail oneself
欠 | qiàn | owe, lack, be deficient; KangXi radical number 76
盈 | yíng | fill; full, overflowing; surplus
晃 | huǎng | bright, dazzling; to sway, shake
蛇 | shé | snake
牡 | mǔ | male of animals; bolt of door
慎 | shèn | act with care, be cautious
粒 | lì | grain; small particle
系 | xì | attach, connect, unite, fasten
倦 | juàn | be tired of, weary
溜 | liū | slide, glide, slip; slippery
遵 | zūn | obey, comply with, follow; honor
腐 | fǔ | rot, decay, spoil; rotten
疾 | jí | illness, disease, sickness; to hate
鸭 | yā | duck; Anas species (various)
璃 | lí | glass
牢 | láo | prison; stable, pen; secure
劣 | liè | bad, inferior; slightly
患 | huàn | suffer, worry about; suffering
祂 | tā | he
呈 | chéng | submit, show; appear; petition
浑 | hún | muddy, turbid; blend, merge, mix
剂 | jì | medicinal preparation
妖 | yāo | strange, weird, supernatural
玻 | bō | glass
塑 | sù | model in clay, sculpt; plastics
飙 | biāo | whirlwind, stormy gale
伏 | fú | crouch, crawl, lie hidden, conceal
弊 | bì | evil, wrong, bad; criminal
扮 | bàn | dress up; dress up as
侬 | nóng | I; you; family name
渴 | kě | thirsty, parched; yearn, pine
歪 | wāi | slant; inclined; askewd, awry
苗 | miáo | sprouts; Miao nationality
汗 | hàn | perspiration, sweat
陶 | táo | pottery, ceramics
栋 | dòng | the main beams supporting a house
琳 | lín | beautiful jade, gem
蓉 | róng | hibiscus; Chengdu, Sichuan
埋 | mái | bury, secrete, conceal
叡 | ruì | astute, profound, shrewd
澎 | péng | splatter
并 | bìng | combine, annex
泣 | qì | cry, sob, weep
腾 | téng | fly; gallop; run; prance; rise
柯 | kē | axe-handle; stalk, bough; surname
催 | cuī | press, urge
畅 | chàng | smoothly, freely, unrestrained
勾 | gōu | hook, join, connect; entice
樱 | yīng | cherry, cherry blossom
阮 | ruǎn | ancient musical instrument: surname
斥 | chì | to scold, upbraid, accuse, reproach
搜 | sōu | search, seek; investigate
踩 | cǎi | step on
返 | fǎn | return, revert to, restore
坛 | tán | an earthenware jar, a jug
垂 | chuí | let down; suspend, hand; down
唤 | huàn | call, summon; invite; be called
储 | chǔ | to save money, store, reserve; an heir
贩 | fàn | peddler, hawker, street merchant
匆 | cōng | hastily, in haste, hurriedly
添 | tiān | append, add to; increase
坑 | kēng | pit, hole; bury, trap; harry
柴 | chái | firewood, faggots, fuel
邓 | dèng | surname
糖 | táng | sugar; candy; sweets
昆 | kūn | elder brother; descendants
暮 | mù | evening, dusk, sunset; ending
柜 | guì | cupboard, wardrobe, counter
娟 | juān | beautiful, graceful
腹 | fù | stomach, belly, abdomen; inside
煮 | zhǔ | cook
泛 | fàn | to drift, float; careless, reckless
稀 | xī | rare, unusual, scarce; sparse
兹 | zī | now, here; this; time, year
抑 | yì | press down, repress; curb, hinder
携 | xī | lead by hand, take with; carry
芭 | bā | plantain or banana palm; fragrant
框 | kuàng | frame; framework; door frame
彷 | páng | like, resembling; resemble
罐 | guàn | jar, jug, pitcher, pot
虹 | hóng | rainbow
拷 | kǎo | torture and interrogate; hit
萍 | píng | duckweed; wandering, traveling
臂 | bì | arm
袭 | xí | raid, attack; inherit
叙 | xù | express, state, relate, narrate
吻 | wěn | kiss; the lips; coinciding
仿 | fǎng | imitate, copy; as if
贼 | zéi | thief, traitor
羯 | jié | wether, castrated ram; deer skin
浴 | yù | bathe, wash; bath
体 | tǐ | body; group, class, body, unit
