
虱 | shī | louse; bug; parasite
坷 | kě | clod of earth, lump of soil
笆 | bā | bamboo fence
竽 | yú | ancient woodwind instrument
梖 | bèi | a palm-tree
賏 | yìng | pearls or shells strung together
闺 | guī | small entrance; women's quarters
浙 | zhè | Zhejiang province; river
疙 | gē | pimple, sore, boil, wart, pustule
蓁 | zhēn | abundant, luxuriant vegetation
烷 | wán | alkane
喈 | jiē | music; melody
跩 | zhuǎi | to waddle, to limp
酣 | hān | enjoy intoxicants
卍 | wàn | swastika fourth of auspicious
遏 | è | stop, suppress, curb, check; a bar
亘 | gèn | extend across, through; from
赑 | bì | strong
万 | wàn | ten thousand; innumerable
掐 | qiā | hold; gather with hand; choke
蛹 | yǒng | chrysalis, larva
骥 | jì | thoroughbred horse; refined and
樊 | fán | a railing; a fence an enclosed place
雱 | páng | snowing heavily
戾 | lì | perverse, recalcitrant, rebellious
别 | bié | separate, other; do not
匮 | guì | to lack
崛 | jué | towering, eminent; rise abruptly
咨 | zī | inquire, consult, discuss; plan
湃 | pài | sound of waves; turbulent
账 | zhàng | accounts; bill, debt; credit
粟 | sù | unhusked millet; grain
谯 | qiáo | tower; surname
骖 | cān | two outside ones in three horse
焜 | kūn | fire, flames; bright, shining
溅 | jiàn | sprinkle, spray; spill, splash
漳 | zhāng | name of a river in Henan
欸 | ǎi | sighs; an exclamatory sound
葆 | bǎo | reserve, preserve; conceal
瘩 | dā | pimples
剷 | chǎn | to level off, cut off, pare down, raze
恙 | yàng | illness, sickness; indisposition
陞 | shēng | promote, rise, ascend
榻 | tà | cot, couch, bed
潞 | lù | river in northern china
哞 | mōu | 
锤 | chuí | balance weight on scale; hammer
琢 | zhuó | polish jade; cut jade
簷 | yán | eaves of house; brim
仆 | pú | slave, servant, I
厘 | lí | manage, control; 1/1000 of a foot
篷 | péng | awning, covering; sail; boat
揆 | kuí | prime minister; to guess, estimate
遽 | jù | suddenly, unexpectedly; at once
峘 | hū | 
圃 | pǔ | garden, cultivated field
町 | tǐng | raised path between fields
馊 | sōu | spoiled, rotten, stale, rancid
潢 | huáng | expanse of water, lake, pond
岖 | qū | steep, sheer; rugged, rough
蟆 | má | frog, toad
嚥 | yàn | swallow, gulp
怂 | sǒng | to alarm; to instigate, arouse, incite
琬 | wǎn | the virtue of a gentleman; jade
镶 | xiāng | insert, inlay, set, mount; fill
侄 | zhí | nephew
庵 | ān | Buddhist monastery or nunnery
瞑 | míng | close eyes
赂 | lù | bribe; give present
澹 | dàn | calm, quiet, tranquil
杵 | chǔ | pestle; baton used beat clothes
苯 | běn | benzene; luxuriant
劭 | shào | encourage; to excel; excellent
忡 | chōng | a sad, uneasy countenance
枣 | zǎo | date tree; dates, jujubes; surname
佗 | tuō | other, he; surname; a load
掺 | xiān | a delicate hand; mix, blend, adulterate
捅 | tǒng | jab
迩 | ěr | be near, be close; recently
衿 | jīn | collar or lapel of garment
饕 | tāo | gluttonous, greedy, covetous
皎 | jiǎo | white; bright, brilliant; clear
娓 | wěi | comply; complying, agreeable
镉 | gé | cadmium
糯 | nuò | glutinous rice; glutinous, sticky
垠 | yín | boundary, bank of stream or river
潺 | chán | sound of flowing water
佣 | yōng | hire, employ, charter; servant
柿 | shì | persimmon
绸 | chóu | silk cloth, satin damask
庠 | xiáng | village school; teach
濂 | lián | a waterfall; a river in Hunan
逑 | qiú | collect, unite; match, pair
狈 | bèi | a legendary animal with short forelegs which rode a wolf
踝 | huái | ankle
鲶 | nián | sheat
傜 | yáo | a minority tribe
叱 | chì | scold, shout at, bawl out
缇 | tí | reddish color, red, brown
懵 | méng | stupid, ignorant, dull
椭 | tuǒ | oval-shaped, elliptical, tubular
贻 | yí | give to, hand down, bequeath
猥 | wěi | vulgar, low, cheap; wanton; obscene
哄 | hōng | coax; beguile, cheat, deceive
咁 | gem4 | so (Cantonese)
粱 | liáng | better varieties of millet
迭 | dié | repeatedly, frequently
邰 | tái | surname; state in modern Shanxi
悚 | sǒng | afraid, scared, frightened
榆 | yú | elm tree
脓 | nóng | pus
冇 | mǎo | (Cant.) have not
寨 | zhài | stockade, stronghold, outpost; brothel
镁 | měi | magnesium
摒 | bìng | expel, cast off; arrange
徕 | lái | induce, encourage to come
嗦 | suō | suck
烜 | xuǎn | light of the sun; to dry in the sun
萼 | è | the stem and calyx of a flower; a younger brother
壬 | rén | 9th heavenly stem
诧 | chà | to brag; exaggerated; to wonder at
碇 | dìng | anchor
镳 | biāo | bit, bridle; ride
锚 | máo | anchor
迥 | jiǒng | distant, far; separated; different
孚 | fú | brood over eggs; have confidence
陇 | lǒng | mountain located between Shanxi
豺 | chái | wolf; cruel, wicked, mean
悖 | bèi | be contradictory to, go counter
搥 | chuí | beat, pound, strike, throw; shampoo
钛 | tài | titanium
肄 | yì | learn, practice, study; toil
脐 | qí | abdominal area of crab; navel
唢 | suǒ | flute-like musical instrument
诙 | huī | tease, joke with; ridicule, mock
拎 | līng | to haul; to lift; to take
戎 | róng | arms, armaments; military affair
崚 | léng | hilly, steep, rugged
喳 | zhā | whispering
鳕 | xuě | codfish
嗣 | sì | to connect, inherit; descendants, heirs
砥 | dǐ | a whetstone; to polish
枋 | fāng | sandalwood; tree used as timber
沽 | gū | buy and sell; inferior in quality
渥 | wò | moisten, soak; great, deep; dye; to enrich
黝 | yǒu | black
鱿 | yóu | cuttlefish
殇 | shāng | die young; national mourning
蔫 | yān | withered, faded, decayed; calm
爻 | yáo | diagrams for divination
籁 | lài | bamboo flute; pipe; various sound
孜 | zī | be as diligent as possible
恿 | yǒng | instigate, incite; to alarm
衙 | yá | public office; official residence
痣 | zhì | spots, moles; birthmark
骧 | xiāng | gallop about with head uplifted
攒 | zǎn | save, hoard
鎗 | qiāng | rifle, small arms, hand gun
闸 | zhá | sluice; flood gate, canal lock
孺 | rú | child; blood relation; affection
洄 | huí | a back-water; an eddy a whirlpool
昊 | hào | summer time; sky; heaven
踼 | táng | to fall flat; to fall on the face
沃 | wò | water, irrigate; fertile, rich
妍 | yán | beautiful, handsome; seductive
拽 | zhuāi | drag, tow; throw; twist
牯 | gǔ | cow; bull; ox
逵 | kuí | thoroughfare, crossroads
泯 | mǐn | destroy, eliminate; perish
龌 | wò | narrow, small; dirty
銮 | luán | bells hung on horse; bells hung
镛 | yōng | a large bell used as a musical instrument
雉 | zhì | pheasant; crenellated wall
梗 | gěng | stem of flower, branch of plant
麾 | huī | a pennant, flag, banner; to signal to
胤 | yìn | heir, successor; progeny, posterity
馥 | fù | fragrance, scent, aroma
髦 | máo | flowing hair of young child
璨 | càn | gems; luster of gems; lustrous
浣 | wǎn | to wash, to rinse
鼐 | nài | incense tripod
呗 | bài | final particle of assertion pathaka
腑 | fǔ | bowels, entrails, internal organs
吁 | xū | interjection 'Alas!'; to sigh
牒 | dié | documents, records; dispatch
狒 | fèi | baboon
痰 | tán | phlegm, mucus, spittle
剌 | là | slash, cut in two; contradict
剽 | piào | rob, plunder; slice off; fast
篡 | cuàn | usurp
沬 | mèi | dusk; Mei river; Zhou dynasty place-name; (Cant.) to go underwater, to dive
驭 | yù | drive, ride; manage, control
辇 | niǎn | a hand-cart; to transport by carriage
贮 | zhǔ | store, stockpile, hoard
妲 | dá | concubine of last ruler of the Shang dynasty
盥 | guàn | wash
莞 | wǎn | smiling; a kind of aquatic herb
阖 | hé | close; whole, entire; all; leaf
筏 | fá | raft
炖 | dùn | heat with fire; stew
纭 | yún | confused, in disorder; numerous
雩 | yú | offer sacrifice for rain
涧 | jiàn | brook, mountain stream
筐 | kuāng | bamboo basket or chest
藕 | ǒu | lotus root
垓 | gāi | border, boundary, frontier
垛 | duǒ | heap, pile; pile up, heap up
齁 | hóu | snore loudly; very, extremely
鐽 | dá | 
馅 | xiàn | pastry filling, stuffing
芮 | ruì | tiny, small; water's edge
菠 | bō | spinach and similar greens
绥 | suī | soothe, appease, pacify; carriage harness
躄 | bì | cripple, lame
谆 | zhūn | patient, earnest; earnestly
琅 | láng | a variety of white carnelian; pure
汨 | mì | Mi(luo) river in Hunan province where Qu Yuan drowned himself; to sink; used (erroneously) for U+6C69 汩
鲑 | guī | salmon; spheroides vermicularis
啜 | chuò | sip, suck up; sob, weep
晤 | wù | have interview with; meet
惬 | qiè | be satisfied, be comfortable
苞 | bāo | a variety of rush; firm, enduring; to burst forth
毗 | pí | help, assist; connect, adjoin
倏 | shū | hastily, suddenly, abruptly
哮 | xiāo | cough; pant; roar
伎 | jì | talent, skill, ability
杞 | qǐ | willow; medlar tree; a small feudal state (Qi)
歛 | liàn | draw back, fold back; collect
荃 | quán | aromatic herb; fine cloth
呷 | xiā | suck, swallow, drink
麴 | qú | yeast, leaven; surname
糜 | mí | rice gruel, congee; mashed
旳 | dì | 
绯 | fēi | scarlet, dark red, crimson; purpl
饯 | jiàn | farewell party; see off, send off
颦 | pín | frown, knit brows; with knitted
煇 | huī | weld, solder
荀 | xún | surname; ancient state; plant
悱 | fěi | to be desirous of speaking
鸾 | luán | fabulous bird
亩 | mǔ | Chinese land measure; fields
龊 | chuò | narrow, small; dirty
仞 | rèn | ancient unit of measure (8 feet); 'fathom'
愫 | sù | guileless, sincere, honest
灶 | zào | furnace; kitchen range
栩 | xǔ | species of oak; be glad, be pleased
浬 | lǐ | nautical mile
腼 | tiǎn | timid, shy, bashful
坍 | tān | collapse; landslide
嗖 | sōu | 
冽 | liè | cold and raw; pure, clear
偌 | ruò | thus, so, like, such
巿 | fú | revolve, make circuit, turn
蒨 | qiàn | lush vegetation, luxuriant growth
隋 | suí | Sui dynasty; surname
劾 | hé | examine into, impeach, charge
裱 | biǎo | to mount maps or scrolls to paste
蜃 | shèn | marine monster which can change its shape; water spouts; clams
蚌 | bàng | oysters, mussels; mother-of-pearl
吆 | yāo | bawl, yell, shout, cry out
毘 | pí | help, assist; connect, adjoin
鳍 | qí | fin
钏 | chuàn | bracelet, armlet
潦 | liáo | to flood; a puddle; without care
钵 | bō | earthenware basin; alms bowl (Sanskrit paatra)
嗙 | pǎng | boast
龈 | kěn | gums
柒 | qī | number seven
娼 | chāng | prostitute, harlot
脕 | wǎn | 
徛 | qì | to cross over
倔 | jué | stubborn, obstinate, intransigent; firm
唏 | xī | weep or sob; grieve
黴 | méi | mold, mildew; bacteria, fungi
碾 | niàn | roller, crush; roll
瞰 | kàn | watch, spy; overlook; look down
蝗 | huáng | kind of locust
魇 | yǎn | nightmare, bad dreams
譁 | huá | noise, uproar; clamor, hubbub
钿 | diàn | hairpin; gold inlaid work, filigree
