
摧 | cuī | destroy, break, injure
栗 | lì | shiver, shudder, tremble; tremble
菊 | jú | chrysanthemum
瘦 | shòu | thin, emaciated, lean; meager
钧 | jūn | unit of measure equivalent to thirty catties
匿 | nì | hide; go into hiding
砖 | zhuān | tile, brick
嘘 | xū | exhale; blow out; deep sigh; hiss; praise, flatter; lie
缚 | fú | to tie
嘟 | dū | sound of horn tooting
盆 | pén | basin, tub, pot, bowl
债 | zhài | debt, loan, liabilities
霞 | xiá | rosy clouds
挽 | wǎn | mourn; pull; draw
逍 | xiāo | ramble, stroll, jaunt, loiter
畔 | pàn | boundary path dividing fields
蕴 | yùn | collect, gather, store; profound; (Budd.) skandha
颈 | jǐng | neck, throat
获 | huò | harvest, cut grain
畏 | wèi | fear, dread, awe, reverence
喂 | wèi | interjection to call attention
脾 | pí | spleen, pancreas; disposition
姬 | jī | beauty; imperial concubine
赴 | fù | go to; attend, be present
囊 | náng | bag, purse, sack; put in bag
噪 | zào | be noisy; chirp loudly
熄 | xí | put out, extinguish, quash
锡 | xí | tin, stannum; bestow, confer
诀 | jué | take leave of, bid farewell
肇 | zhào | begin, commence, originate
璋 | zhāng | jade plaything; jade ornament
晕 | yūn | halo in sky; fog; dizzy, faint
浊 | zhuó | muddy, turbid, dirty, filthy
伐 | fá | cut down, subjugate, attack
峡 | xiá | gorge, strait, ravine; isthmus
窃 | qiè | secretly, stealthily; steal; thief
枕 | zhěn | pillow
倘 | tǎng | if, supposing, in event of
慌 | huāng | nervous, panicky, frantic
垮 | kuǎ | be defeated, fail, collapse
帕 | pà | turban, kerchief, veil; wrap
莹 | yíng | lustre of gems; bright, lustrous
琦 | qí | gem, precious stone, jade
厢 | xiāng | side-room, wing; theatre box
渺 | miǎo | endlessly long, boundless, vast
脏 | zāng | dirty; firm; fat
削 | xuē | scrape off, pare, trim
锣 | luó | gong
虐 | nvè | cruel, harsh, oppressive
豔 | yàn | plump, voluptuous, beautiful
薇 | wéi | Osmunda regalis, a species of fern
霉 | méi | mildew, mold; moldy, mildewed
衍 | yǎn | overflow, spill over, spread out
腊 | là | year end sacrifice; dried meat
喧 | xuǎn | lively, noisy; clamor, talk loudly
娶 | qǔ | marry, take wife
遂 | suì | comply with, follow along; thereupon
睁 | zhēng | to open the eyes; stare
裙 | qún | skirt, apron, petticoat
韦 | wéi | tanned leather; surname; KangXi radical number 178
矢 | shǐ | arrow, dart; vow, swear
伺 | sì | serve, wait upon, attend; examine
钉 | dīng | nail, spike; pursue closely
婴 | yīng | baby, infant; bother
蓄 | xù | store, save, hoard, gather
奸 | jiān | adultery, debauchery; debauch
廿 | niàn | twenty, twentieth
堵 | dǔ | wall; stop, prevent; stop up
葬 | zàng | bury, inter
蓬 | péng | type of raspberry; fairyland
鸦 | yā | crow, raven; Corvus species (various)
尝 | cháng | taste; experience, experiment
挨 | āi | near, close by, next to, towards, against; to wait; to lean on
蕾 | lěi | buds, unopened flowers
璿 | xuán | fine jade
挚 | zhì | sincere, warm, cordial; surname
券 | quàn | certificate, ticket; title deeds
厨 | chú | kitchen; closet; cupboard
醇 | chún | rich, good as wine; pure, unmixed
呻 | shēn | groan, moan; recite with intonation
霍 | huò | quickly, suddenly; surname
剃 | tì | shave
浆 | jiāng | any thick fluid; starch; broth
葡 | pú | grapes
暨 | jì | and; attain, reach; confines
滨 | bīn | beach, sea coast; river bank
履 | lǚ | footwear, shoes; walk on, tread
捞 | lāo | scoop out of water; dredge, fish
咕 | gū | mumble, mutter, murmur; rumble
耕 | gēng | plow, cultivate
棉 | mián | cotton; cotton padded
烁 | shuò | shine, glitter, sparkle
尉 | wèi | officer, military rank
艰 | jiān | difficult, hard; distressing
妓 | jì | prostitute
棺 | guān | coffin
鹏 | péng | fabulous bird of enormous size
蒸 | zhēng | steam; evaporate
癌 | yán | cancer; marmoset
纬 | wěi | woof; parallels of latitude
菌 | jùn | mushroom; germ, microbe
撇 | piě | discard, abandon, throw away
惩 | chéng | punish, reprimand; warn
绑 | bǎng | bind, tie, fasten
甫 | fǔ | begin; man, father; great
崩 | bēng | rupture, split apart, collapse
魄 | pò | vigor; body; dark part of moon
拂 | fú | shake off, brush away; dust
汰 | tài | excessive; scour, wash out
氓 | máng | people; subjects; vassals
歇 | xiē | rest, stop, lodge
萝 | luó | type of creeping plant; turnip
呒 | fǔ | unclear; an expletive
萄 | táo | grapes
蕃 | fán | foreign things
曝 | pù | sun, air in sun, expose or dry in the sun
疋 | pǐ | roll, bolt of cloth; foot
向 | xiàng | once upon time; period of time
胏 | zǐ | meat
烛 | zhú | candle, taper; to shine, illuminate
腻 | nì | greasy, oily, dirty; smooth
襄 | xiāng | aid, help, assist; undress
妆 | zhuāng | to adorn oneself, dress up, use make-up
髓 | suǐ | bone marrow; essences, substances
朴 | pú | simple, honest; plain; rough
薯 | shǔ | yam, tuber, potato
颂 | sòng | laud, acclaim; hymn; ode
薛 | xiē | kind of marsh grass; feudal state
滩 | tān | bank, a sandbar, shoal; rapids
橘 | jú | orange, tangerine
贰 | èr | number two
嘲 | cháo | ridicule, deride, scorn, jeer at
叹 | tàn | sigh, admire
枚 | méi | stalk of shrub, trunk of tree
侮 | wǔ | insult, ridicule, disgrace
豹 | bào | leopard, panther; surname
巢 | cháo | nest, living quarter in tree
酬 | chóu | toast; reward, recompense
碑 | bēi | stone tablet; gravestone
翩 | piān | fly, flutter
蚕 | cán | silkworms
辽 | liáo | distant, far
矿 | kuàng | mine; mineral, ore
