
的 | de | possessive, adjectival suffix
是 | shì | indeed, yes, right; to be; demonstrative pronoun, this, that
不 | bù | no, not; un-; negative prefix
我 | wǒ | our, us, i, me, my, we
一 | yī | one; a, an; alone
有 | yǒu | have, own, possess; exist
大 | dà | big, great, vast, large, high
在 | zài | be at, in, on; consist in, rest
人 | rén | man; people; mankind; someone else
了 | liǎo | to finish; particle of completed action
中 | zhōng | central; center, middle; in the midst of; hit (target); attain
到 | dào | go to, arrive, been to
资 | zī | property; wealth; capital
要 | yào | necessary, essential; necessity
可 | kě | may, can, -able; possibly
以 | yǐ | by means of; thereby, therefore; consider as; in order to
这 | zhè | this, the, here
个 | gè | numerary adjunct, piece; single
你 | nǐ | you, second person pronoun
会 | huì | to assemble, meet together; a meeting; an organization
好 | hǎo | good, excellent, fine; well
为 | wèi | do, handle, govern, act; be
上 | shàng | top; superior, highest; go up, send up
来 | lái | come, coming; return, returning
就 | jiù | just, simply; to come, go to; to approach, near
学 | xué | learning, knowledge; school
交 | jiāo | mix; intersect; exchange, communicate; deliver
也 | yě | also; classical final particle of strong affirmation or identity
用 | yòng | use, employ, apply, operate; use
能 | néng | to be able; can, permitted to; ability
如 | rú | if, supposing; as if; like, as
文 | wén | literature, culture, writing
时 | shí | time, season; era, age, period
没 | méi | not, have not, none; to drown, sink
说 | shuō | speak
他 | tā | other, another; he, she, it
看 | kàn | look, see; examine, scrutinize
提 | tí | hold in hand; lift in hand
那 | nà | that, that one, those
问 | wèn | ask (about), inquire after
生 | shēng | life, living, lifetime; birth
过 | guò | pass, pass through, go across
下 | xià | under, underneath, below; down; inferior; bring down
请 | qǐng | ask, request; invite; please
天 | tiān | sky, heaven; god, celestial
们 | men | adjunct pronoun indicate plural
所 | suǒ | place, location; numerary adjunct
多 | duō | much, many; more than, over
麽 | mó | dimi.
小 | xiǎo | small, tiny, insignificant
想 | xiǎng | think, speculate, plan, consider
得 | dé | obtain, get, gain, acquire
之 | zhī | s (marks preceding phrase as modifier of following phrase); it, him her, them; go to
还 | huán | still, yet, also, besides
电 | diàn | electricity, electric; lightning
出 | chū | go out, send out; stand; produce
工 | gōng | labor, work; worker, laborer
对 | duì | correct, right; facing, opposed
都 | dū | metropolis, capital; all, the whole; elegant, refined
机 | jī | machine; moment, chance
自 | zì | self, private, personal; from
后 | hòu | behind, rear, after; descendents
子 | zǐ | offspring, child; fruit, seed of; 1st terrestrial branch
而 | ér | and; and then; and yet; but
讯 | xùn | inquire; ask; examine; reproach
站 | zhàn | stand up; a stand, station
去 | qù | go away, leave, depart
心 | xīn | heart; mind, intelligence; soul
只 | zhī | single, one of pair, lone
家 | jiā | house, home, residence; family
知 | zhī | know, perceive, comprehend
国 | guó | nation, country, nation-state
台 | tái | taiphoon
很 | hěn | very, quite, much
信 | xìn | trust, believe; letter
成 | chéng | completed, finished, fixed
章 | zhāng | composition; chapter, section
何 | hé | what, why, where, which, how
同 | tòng | alley, lane
道 | dào | path, road, street; method, way
地 | dì | earth; soil, ground; region
发 | fǎ | hair
法 | fǎ | law, rule, regulation, statute; France, French
无 | wú | negative, no, not; lack, have no
然 | rán | yes, certainly; pledge, promise
但 | dàn | only; but, however, yet, still
吗 | ma | final interrogative particle
当 | dāng | bear, accept, undertake; just
于 | yú | in, at, on; interjection alas!
本 | běn | root, origin, source; basis
现 | xiàn | appear, manifest, become visible
年 | nián | year; new-years; person's age
前 | qián | in front, forward; preceding
真 | zhēn | real, actual, true, genuine
最 | zuì | most, extremely, exceedingly
和 | hé | harmony, peace; peaceful, calm
新 | xīn | new, recent, fresh, modern
因 | yīn | cause, reason; by; because (of)
果 | guǒ | fruit; result
定 | dìng | decide, settle, fix
意 | yì | thought, idea, opinion; think
情 | qíng | feeling, sentiment, emotion
点 | diǎn | dot, speck, spot; point, degree
题 | tí | forehead; title, headline; theme
其 | qí | his, her, its, their; that
事 | shì | affair, matter, business; to serve; accident, incident
方 | fāng | a square, rectangle; a region; local
清 | qīng | clear, pure, clean; peaceful
科 | kē | section, department, science
样 | yàng | shape, form, pattern, style
些 | xiē | little, few; rather, somewhat
吧 | ba | emphatic final particle
叁 | cān | take part in, intervene; ginseng
此 | cǐ | this, these; in this case, then
位 | wèi | throne; position, post; rank, status; seat
理 | lǐ | reason, logic; manage
行 | xíng | go; walk; move, travel; circulate
作 | zuò | make; work; compose, write; act, perform
经 | jīng | classic works; pass through
者 | zhě | that which; he who; those who
什 | shí | file of ten soldiers; mixed, miscellaneous
谢 | xiè | thank; decline
名 | míng | name, rank, title, position
日 | rì | sun; day; daytime
正 | zhèng | right, proper, correct
华 | huá | flowery; illustrious; Chinese
话 | huà | speech, talk, language; dialect
开 | kāi | open; initiate, begin, start
实 | shí | real, true, solid, honest
再 | zài | again, twice, re-
城 | chéng | castle; city, town; municipality
爱 | ài | love, be fond of, like
与 | yǔ | and; with; to; for; give, grant
二 | èr | two; twice
动 | dòng | move, happen; movement, action
比 | bǐ | to compare, liken; comparison; than
高 | gāo | high, tall; lofty, elevated
面 | miàn | flour, dough, noodles
又 | yòu | and, also, again, in addition
车 | chē | cart, vehicle; carry in cart
力 | lì | power, capability, influence
