
愿 | yuàn | desire, want; wish; ambition
李 | lǐ | plum; judge; surname
底 | dǐ | bottom, underneath, underside
约 | yuē | treaty, agreement, covenant
雄 | xióng | male of species; hero; manly
课 | kè | lesson; course; classwork
答 | dá | answer, reply; return; assent to
令 | lìng | command, order; 'commandant', magistrate; allow, cause
深 | shēn | deep; depth; far; very, extreme
票 | piào | slip of paper or bamboo; ticket
达 | dá | arrive at, reach; intelligent
演 | yǎn | perform, put on; exercise
早 | zǎo | early; soon; morning
卖 | mài | sell; betray; show off
棒 | bàng | stick, club, truncheon; hit
够 | gòu | enough, adequate
黑 | hēi | black; dark; evil, sinister
院 | yuàn | courtyard, yard, court; school
假 | jiǎ | falsehood, deception; vacation
曲 | qǔ | crooked, bent; wrong, false
火 | huǒ | fire, flame; burn; anger, rage
准 | zhǔn | rule, guideline, standard
百 | bǎi | one hundred; numerous, many
谈 | tán | talk; conversation; surname
胜 | shèng | victory; excel, be better than
碟 | dié | small dish, plate
术 | shù | art, skill, special feat; method, technique
推 | tuī | push, expel; push forward
存 | cún | exist, live, be; survive; remain
治 | zhì | govern, regulate, administer
离 | lí | leave, depart; go away; separate
易 | yì | change; easy
往 | wǎng | go, depart; past, formerly
况 | kuàng | condition, situation; furthermore
晚 | wǎn | night, evening; late
示 | shì | show, manifest; demonstrate
证 | zhèng | proof, evidence; testify, verify
段 | duàn | section, piece, division
导 | dǎo | direct, guide, lead, conduct
伤 | shāng | wound, injury; fall ill from
调 | diào | transfer, move, change; tune
团 | tuán | sphere, ball, circle; mass, lump
七 | qī | seven
永 | yǒng | long, perpetual, eternal, forever
刚 | gāng | hard, tough, rigid, strong
哥 | gē | elder brother
甚 | shén | great extent; considerably
德 | dé | ethics, morality, virtue
杀 | shā | kill, slaughter, murder; hurt; to pare off, reduce, clip
怕 | pà | to fear, be afraid of; apprehensive
包 | bāo | wrap, pack, bundle; package
列 | liè | a line; to arrange in order, classify
概 | gài | generally, approximately
照 | zhào | shine, illumine, reflect
夜 | yè | night, dark; in night; by night
排 | pái | row, rank, line
客 | kè | guest, traveller; customer
绝 | jué | cut
软 | ruǎn | soft, flexible, pliable; weak
商 | shāng | commerce, business, trade
根 | gēn | root, base(d on); foundation
九 | jiǔ | nine
切 | qiē | cut, mince, slice, carve
条 | tiáo | clause, condition; string, stripe
集 | jí | assemble, collect together
千 | qiān | thousand; many, numerous; very; (Cant.) a cheater, swindler
落 | luò | fall, drop; net income, surplus
竟 | jìng | finally, after all, at last
越 | yuè | exceed, go beyond; the more ...
待 | dài | treat, entertain, receive; wait
忘 | wàng | forget; neglect; miss, omit
尽 | jìn | exhaust, use up; deplete
据 | jù | to occupy, take possession of; a base
双 | shuāng | set of two, pair, couple; both
供 | gōng | supply, provide for; offer in worship
称 | chēng | call; name, brand; address; say
座 | zuò | seat; stand, base
值 | zhí | price
消 | xiāo | vanish, die out; melt away
产 | chǎn | give birth
红 | hóng | red, vermillion; blush, flush
跑 | pǎo | run, flee, leave in hurry
嘛 | ma | final exclamatory particle
园 | yuán | garden; park, orchard
附 | fù | adhere to, append; rely on near to
硬 | yìng | hard, firm, strong; obstinate
云 | yún | clouds; Yunnan province
游 | yóu | to swim; float, drift; wander, roam
展 | zhǎn | open, unfold; stretch, extend
执 | zhí | hold in hand; keep; carry out
闻 | wén | hear; smell; make known; news
唱 | chàng | sing, chant, call; ditty, song
育 | yù | produce, give birth to; educate
斯 | sī | this, thus, such; to lop off; emphatic particle
某 | mǒu | certain thing or person
技 | jì | skill, ability, talent, ingenuity
唉 | āi | alas, exclamation of surprise or pain
息 | xī | rest, put stop to, end, cease
苦 | kǔ | bitter; hardship, suffering
质 | zhí | matter, material, substance
油 | yóu | oil, fat, grease, lard; paints
救 | jiù | save, rescue, relieve; help, aid
效 | xiào | result, effect; effectiveness
须 | xū | beard, whiskers; whisker-like
介 | jiè | forerunner, herald, harbinger; to lie between; sea shell; to wear armor
首 | shǒu | head; first; leader, chief; a poem
助 | zhù | help, aid, assist
职 | zhí | duty, profession; office, post
例 | lì | precedent, example; regulation
热 | rè | hot; heat; fever; restless; zeal
毕 | bì | end, finish, conclude; completed
节 | jié | knot, node, joint; section
害 | hài | injure, harm; destroy, kill
击 | jí | strike, hit, beat; attack, fight
乱 | luàn | confusion, state of chaos; create chaos, revolt
态 | tài | manner, bearing, attitude
嗯 | ēn | (a groaning sound)
宝 | bǎo | treasure, jewel; precious, rare
倒 | dǎo | fall over; lie down; take turns
注 | zhù | explain; annotate; make entry
停 | tíng | stop, suspend, delay; suitable
古 | gǔ | old, classic, ancient
输 | shū | transport, carry, haul
规 | guī | rules, regulations, customs, law
福 | fú | happiness, good fortune, blessing
亲 | qīn | relatives, parents; intimate
查 | chá | investigate, examine, seek into
复 | fù | cover; tip over; return; reply
步 | bù | step, pace; walk, stroll
举 | jǔ | raise, lift up; recommend
鱼 | yú | fish; surname; KangXi radical 195
断 | duàn | sever, cut off; interrupt
终 | zhōng | end; finally, in the end
轻 | qīng | light; easy, simple; gentle
环 | huán | jade ring or bracelet; ring
练 | liàn | practice, drill, exercise, train
印 | yìn | print, seal, stamp, chop, mark
随 | suí | follow, listen to, submit; to accompany; subsequently, then
依 | yī | rely on, be set in; consent, obey a wish
趣 | qù | what attracts one's attention
限 | xiàn | boundary, limit, line
响 | xiǎng | make sound, make noise; sound
省 | shěng | province; save, economize
局 | jú | bureau, office; circumstance
续 | xù | continue, carry on; succeed
司 | sī | take charge of, control, manage; officer
角 | jiǎo | horn; angle, corner; point
简 | jiǎn | simple, terse, succinct; letter
极 | jí | extreme, utmost, furthest, final
干 | gàn | trunk of tree or of human body
篇 | piān | chapter, section, essay, article
罗 | luó | net for catching birds; gauze
佛 | fó | Buddha; of Buddhism; merciful percon; Buddhist image; the dead (Jap.)
克 | kè | subdue, overcome; cut down
阳 | yáng | male' principle; light; sun
武 | wǔ | military; martial, warlike
疑 | yí | doubt, question, suspect
送 | sòng | see off, send off; dispatch, give
拉 | lā | pull, drag; seize, hold; lengthen
习 | xí | practice; flapping wings
源 | yuán | spring; source, head; surname
免 | miǎn | spare; excuse from; evade
志 | zhì | write down; record; magazine
鸟 | niǎo | bird; KangXi radical 196
烦 | fán | bother, vex, trouble; troublesome
足 | zú | foot; attain, satisfy, enough
馆 | guǎn | public building
仍 | réng | yet, still, as ever; again; keep -ing, continuing
低 | dī | low; to lower, hang, bend, bow
广 | guǎng | broad, wide, extensive
土 | tǔ | soil, earth; items made of earth
呀 | yā | particle used to express surprise or mild emphasis; (Cant.) slurred form of the number ten
楼 | lóu | building of two or more stories
坏 | huài | bad, spoil(ed), ruin, destroy
兵 | bīng | soldier, troops
显 | xiǎn | manifest, display; evident, clear
率 | lǖ | to lead; ratio; rate; limit
圣 | shèng | holy, sacred; sage
码 | mǎ | number, numerals; yard; symbol
众 | zhòng | multitude, crowd; masses, public
争 | zhēng | to dispute, fight, contend, strive
初 | chū | beginning, initial, primary
误 | wù | err, make mistake; interfere
楚 | chǔ | name of feudal state; clear
责 | zé | one's responsibility, duty
境 | jìng | boundary, frontier; area, region
野 | yě | open country, field; wilderness
预 | yù | prepare, arrange; in advance
具 | jù | tool, implement; draw up, write
智 | zhì | wisdom, knowledge, intelligence
压 | yā | press; oppress; crush; pressure
系 | xì | attach, connect, unite, fasten
青 | qīng | blue, green, black; young
贵 | guì | expensive, costly, valuable
顺 | shùn | obey, submit to, go along with
负 | fù | load, burden; carry, bear
魔 | mó | demon, evil spirits; magic power
适 | shì | match, comfortable; just
哇 | wā | vomit; cry of an infant
测 | cè | measure, estimate, conjecture
慢 | màn | slow(ly), leisurely, sluggish
怀 | huái | bosom, breast; carry in bosom
懂 | dǒng | understand, comprehend
史 | shǐ | history, chronicle, annals
配 | pèi | match, pair; equal; blend
呜 | wū | sound of crying, sobbing
味 | wèi | taste, smell, odor; delicacy
亦 | yì | also, too; likewise
医 | yī | cure, heal; doctor, medical
迎 | yíng | receive, welcome, greet
舞 | wǔ | dance, posture, prance; brandish
恋 | liàn | love; long for, yearn for; love
细 | xì | fine, tiny; slender, thin
灌 | guàn | pour; water; irrigate, flood
甲 | jiǎ | armor, shell; fingernails; 1st heavenly stem
帝 | dì | supreme ruler, emperor; god
句 | jù | sentence
属 | shǔ | class, category, type; to belong to
灵 | líng | spirit, soul; spiritual world
评 | píng | appraise, criticize, evaluate
骑 | qí | ride horseback; mount; cavalry
宜 | yí | suitable, right, fitting, proper
败 | bài | be defeated, decline, fail
左 | zuǒ | left; east; unorthodox, improper
追 | zhuī | pursue, chase after; expel
狂 | kuáng | insane, mad; violent; wild
敢 | gǎn | to dare, venture; bold, brave
春 | chūn | spring; wanton
狗 | gǒu | dog, canis familiaris
际 | jì | border, boundary, juncture
遇 | yù | meet, come across, encounter
族 | zú | a family clan, ethnic group, tribe
群 | qún | (same as U+7FA3 羣) group, crowd, multitude, mob
痛 | tòng | pain, ache; sorry, sad; bitter
右 | yòu | right; west; right-wing
康 | kāng | peaceful, quiet; happy, healthy
佳 | jia | good, auspicious; beautiful; delightful
杨 | yáng | willow, poplar, aspen; surname
木 | mù | tree; wood, lumber; wooden
病 | bìng | illness, sickness, disease
戏 | xì | theatrical play, show
项 | xiàng | neck, nape of neck; sum; funds
抓 | zhuā | scratch; clutch, seize, grab
征 | zhēng | summon, recruit; musical note
善 | shàn | good, virtuous, charitable, kind
官 | guān | official, public servant
护 | hù | protect, guard, defend, shelter
博 | bó | gamble, play games; wide, broad
补 | bǔ | mend, patch, fix, repair, restore
石 | shí | stone, rock, mineral; rad. 112
尔 | ěr | you; that, those; final particle
营 | yíng | encampment, barracks; manage
历 | lì | take place, past, history
只 | zhī | single, one of pair, lone
按 | àn | put hand on, press down with hand
妹 | mèi | younger sister
里 | lǐ | inside, interior, within
编 | biān | knit, weave; arrange; compile
岁 | suì | year; age; harvest
择 | zé | select, choose, pick out
温 | wēn | lukewarm, warm; tepid, mild
守 | shǒu | defend, protect, guard, conserve
血 | xiě | blood; radical number 143
领 | lǐng | neck; collar; lead, guide
寻 | xún | seek, search, look for; ancient
田 | tián | field, arable land, cultivated
养 | yǎng | raise, rear, bring up; support
谓 | wèi | say, tell; call, name; be called
居 | jū | live, dwell, reside, sit
异 | yì | different, unusual, strange
雨 | yǔ | rain; rainy; KangXi radical 173
止 | zhǐ | stop, halt, desist; detain
跳 | tiào | jump, leap, vault, bounce; dance
君 | jūn | sovereign, monarch, ruler, chief, prince
烂 | làn | rotten, spoiled, decayed
优 | yōu | superior, excellent; actor
封 | fēng | letter, envelope; feudal
拜 | bài | do obeisance, bow, kowtow
恶 | è | evil, wicked, bad, foul
啥 | shà | what?
浪 | làng | wave; wasteful, reckless
核 | hé | seed, kernel, core, nut; atom
聊 | liáo | somewhat, slightly, at least
急 | jí | quick, quickly; urgent, pressing
状 | zhuàng | form; appearance; shape; official
陆 | lù | land, continental; army; an accounting form of U+516D 六 (six)
激 | jī | arouse, excite, incite; quickly
模 | mó | model, standard, pattern; copy
攻 | gōng | attack, assault; criticize
忙 | máng | busy, pressed for time; hustling
良 | liáng | good, virtuous, respectable
剧 | jù | theatrical plays, opera, drama
牛 | niú | cow, ox, bull; KangXi radical93
垒 | lěi | rampart, military wall
增 | zēng | increase, add to, augment
维 | wéi | maintain, preserve, safeguard
静 | jìng | quiet, still, motionless; gentle
阵 | zhèn | column, row or file of troops
抱 | bào | embrace, hold in arms, enfold
势 | shì | power, force; tendency
严 | yán | strict, rigorous, rigid; stern
词 | cí | words; phrase, expression
亚 | yà | Asia; second; used as a prefix to names
夫 | fū | man, male adult, husband; those
签 | qiān | sign, endorse; slip of paper
悲 | bēi | sorrow, grief; sorry, sad
密 | mì | dense, thick, close; intimate
幕 | mù | curtain, screen, tent
毒 | dú | poison, venom; poisonous
厂 | chǎng | factory, plant, workshop, mill
爽 | shuǎng | happy, cheerful; refreshing
缘 | yuán | hem, margin; reason, cause; karma, fate
店 | diàn | shop, store; inn, hotel
吴 | wú | one of warring states; surname
兰 | lán | orchid; elegant, graceful
睡 | shuì | sleep, doze
致 | zhì | delicate, fine; dense
江 | jiāng | large river; yangzi; surname
宿 | sù | stop, rest, lodge, stay overnight; constellation
翻 | fān | flip over, upset, capsize
香 | xiāng | fragrant, sweet smelling, incense
蛮 | mán | barbarians; barbarous, savage
警 | jǐng | guard, watch; alert, alarm
控 | kòng | accuse, charge; control
赵 | zhào | surname; ancient state
冷 | lěng | cold, cool; lonely
威 | wēi | pomp, power; powerful; dominate
微 | wēi | small, prefix micro-, trifling
坐 | zuò | sit; seat; ride, travel by
周 | zhōu | Zhou dynasty; circumference
宗 | zōng | lineage, ancestry; ancestor, clan
普 | pǔ | universal, general, widespread
登 | dēng | rise, mount, board, climb
母 | mǔ | mother; female elders; female
络 | luò | enmesh, wrap around; web, net
午 | wǔ | noon; 7th terrestrial branch
恐 | kǒng | fear; fearful, apprehensive
套 | tào | case, cover, wrapper, envelope
巴 | bā | greatly desire, anxiously hope
杂 | zá | mixed, blended; mix, mingle
创 | chuàng | establish, create; knife cut
旧 | jiù | old, ancient; former, past
辑 | jí | gather up, collect; edit, compile
幸 | xìng | luck(ily), favor, fortunately
剑 | jiàn | sword, dagger, saber
亮 | liàng | bright, brilliant, radiant, light
述 | shù | narrate, state, express
堂 | táng | hall; government office
酒 | jiǔ | wine, spirits, liquor, alcoholic beverage
丽 | lì | beautiful, magnificent, elegant
牌 | pái | signboard, placard
仔 | zǐ | small thing, child; young animal
脚 | jiǎo | foot; base, leg, foundation
突 | tú | suddenly, abruptly, unexpectedly
搞 | gǎo | to clear, clarify
父 | fù | father; KangXi radical 88
俊 | jùn | talented, capable; handsome
暴 | bào | violent, brutal, tyrannical
防 | fáng | defend; prevent; embankment
吉 | jí | lucky, propitious, good
礼 | lǐ | social custom; manners; courtesy; rites
素 | sù | white (silk); plain; vegetarian; formerly; normally
招 | zhāo | beckon, summon; recruit, levy
草 | cǎo | grass, straw, thatch, herbs
周 | zhōu | Zhou dynasty; circumference
房 | fáng | house, building; room
餐 | cān | eat, dine; meal; food
虑 | lǖ | be concerned, worry about
充 | chōng | fill, be full, supply
府 | fǔ | prefecture; prefect; government
背 | bèi | back; back side; behind; betray
典 | diǎn | law, canon; documentation; classic, scripture
仁 | rén | humaneness, benevolence, kindness
漫 | màn | overflow of water; spreading
景 | jǐng | scenery, view; conditions
绍 | shào | continue, carry on; hand down; to join
诸 | zhū | several, various
琴 | qín | Chinese lute or guitar
忆 | yì | remember, reflect upon; memory
援 | yuán | aid, assist; lead; cite
尤 | yóu | especially, particularly
缺 | quē | be short of, lack; gap, deficit
扁 | biǎn | flat; tablet, signboard
骂 | mà | accuse, blame, curse, scold
纯 | chún | pure, clean, simple
惜 | xī | pity, regret, rue, begrudge
授 | shòu | give to, transmit; confer
皮 | pí | skin, hide, fur, feather; outer
松 | sōng | lax, loose; loosen, relax
委 | wěi | appoint, send, commission
湖 | hú | a lake; Hubei, Hunan; bluish-green
诚 | chéng | sincere, honest; true, real
麻 | má | hemp, jute, flax; sesame
置 | zhì | place, lay out; set aside
靠 | kào | lean on, trust, depend on; near
继 | jì | continue, maintain, carry on
判 | pàn | judge; discriminate; conclude
益 | yì | profit, benefit; advantage
波 | bō | waves, breakers; undulations
姐 | jiě | elder sister, young lady
既 | jì | already; de facto; since; then
射 | shè | shoot, eject, issue forth, emit
欲 | yù | desire, want, long for; intend
刻 | kè | carve, engrave; quarter hour
堆 | duī | heap, pile, crowd; pile up
释 | shì | interprete, elucidate; release
含 | hán | hold in mouth; cherish; contain
承 | chéng | inherit, receive; succeed















































































































































































































































































































































































































































































































































































































