
砂 | shā | sand; pebbles, gravel; gritty
恭 | gōng | respectful, polite, reverent
塔 | tǎ | tower, spire, tall building
贺 | hè | congratulate; send present
魂 | hún | soul, spirit
睛 | jīng | eyeball; pupil of eye
逸 | yì | flee, escape, break loose
旗 | qí | banner, flag, streamer
萨 | sà | transliteration of 'sat' in 'bodhisattva,' etc.
丸 | wán | small round object; pellet, pill
厚 | hòu | thick; substantial; greatly
斋 | zhāi | vegetarian diet; study; to fast, abstain
芬 | fēn | fragrance, aroma; perfume
革 | gé | leather, animal hides; rad. 177
庸 | yōng | usual, common, ordinary, mediocre
舒 | shū | open up, unfold, stretch out; comfortable, easy
饮 | yǐn | drink; swallow; kind of drink
闭 | bì | shut, close; obstruct, block up
励 | lì | strive; encourage
顿 | dùn | pause, stop; bow, kowtow; arrange
仰 | yǎng | raise the head to look; look up to, rely on, admire
阁 | gé | chamber, pavilion; cabinet
孟 | mèng | first in series; great, eminent
昌 | chāng | light of sun; good, proper
访 | fǎng | visit; ask, inquire
绪 | xù | end of thread; thread
裕 | yù | abundant, rich, plentiful
勿 | wù | must not, do not; without, never
州 | zhōu | administrative division, state
阐 | chǎn | explain, clarify, elucidate
抢 | qiǎng | plunder, rob, take by force
扫 | sǎo | sweep, clear away; exterminate
糊 | hú | paste, stick on with paste
宙 | zhòu | time as concept; infinite time
尝 | cháng | taste; experience, experiment
菩 | pú | herb, aromatic plant
赐 | sì | give, bestow favors; appoint
赤 | chì | red; communist, 'red'; bare
喊 | hǎn | shout, call out, yell; howl; cry
盗 | dào | rob, steal; thief, bandit
擎 | qíng | lift up, hold up, support
劝 | quàn | recommend, advise, urge
奋 | fèn | strive, exert effort; arouse
慈 | cí | kind, charitable, benevolent
尽 | jìn | exhaust, use up; deplete
污 | wū | filthy, dirty, impure, polluted
狐 | hú | species of fox
罚 | fá | penalty, fine; punish, penalize
幽 | yōu | quiet, secluded, tranquil; dark
准 | zhǔn | rule, guideline, standard
兼 | jiān | unite, combine; connect; and
尖 | jiān | sharp, pointed, acute, keen
彰 | zhāng | clear, manifest, obvious
灰 | huī | ashes; dust; lime, mortar
番 | fān | to take turns; a turn, a time; to repeat
衡 | héng | measure, weigh, judge, consider
鲜 | xiān | fresh, new, delicious; rare, few
扩 | kuò | expand, enlarge, stretch
毫 | háo | fine hair; measure of length
夸 | kuā | exaggerate; brag, boast; flaunt
炮 | pào | large gun, cannon; artillery
拆 | chāi | to break up, split apart, rip open; to destroy
监 | jiān | supervise, control, direct
栏 | lán | railing, balustrade; animal pan
迟 | chí | late, tardy; slow; delay
证 | zhèng | proof, evidence; testify, verify
倾 | qīng | upset, pour out, overflow
郁 | yù | luxuriant; dense, thick; moody
汪 | wāng | vast, extensive, deep; surname
纷 | fēn | in disorder, scattered, tangled
托 | tuō | to hold up with palm; to support, rely on
漏 | lòu | leak, drip; funnel; hour glass
渡 | dù | cross, ferry over; ferry
姑 | gū | father's sister; husband's mother
秒 | miǎo | beard of grain or corn; a second
吾 | wú | i, my, our; resist, impede
窝 | wō | nest; cave, den; hiding place
辆 | liàng | numerary adjunct for vehicles
龄 | líng | age; years
跌 | diē | stumble, slip, fall down; stamp
浩 | hào | great, numerous, vast, abundant
肥 | féi | fat, plump, obese; fertile
兽 | shòu | beast, animal; bestial
煞 | shà | malignant deity; baleful, noxious; strike dead
抹 | mǒ | smear, apply, wipe off, erase
酸 | suān | tart, sour; acid; stiff; spoiled
税 | shuì | taxes, revenue, duty; tax
陷 | xiàn | submerge, sink, plunge; trap
谷 | gǔ | corn, grain, cereal; lucky
冲 | chōng | rush against, charge ahead
杜 | dù | stop, prevent; restrict; surname
胸 | xiōng | breast, bosom, chest; thorax
甘 | gān | sweetness; sweet, tasty
胞 | bāo | womb, placenta, fetal membrane
诞 | dàn | to bear children, give birth; birth
岂 | qǐ | how? what?
辞 | cí | words, speech, expression, phrase
墙 | qiáng | wall
凉 | liáng | cool, cold; disheartened
碎 | suì | break, smash; broken, busted
晶 | jīng | crystal; clear, bright; radiant
邱 | qiū | surname; hill; mound; grave
逻 | luó | patrol; inspect; watch
脆 | cuì | crisp; fragile, frail; brittle
喷 | pēn | spurt, blow out, puff out
玫 | méi | rose
娃 | wá | baby; doll; pretty girl
培 | péi | bank up with dirt; cultivate
咱 | zán | us
潜 | qián | hide; hidden, secret, latent
祥 | xiáng | good luck, good omen; happiness
筑 | zhú | build, erect; building
孔 | kǒng | opening, hole, orifice; great
柏 | bó | cypress, cedar
叭 | bā | trumpet
邀 | yāo | invite, welcome; meet, intercept
犹 | yóu | like, similar to, just like, as
妻 | qī | wife
估 | gū | merchant; estimate, guess, presume
荒 | huāng | wasteland, desert; uncultivated
袋 | dài | pocket, bag, sack, pouch
径 | jìng | narrow path; diameter; direct
垃 | lā | garbage, refuse, waste
傲 | ào | proud, haughty, overbearing
淑 | shú | good, pure, virtuous, charming
圾 | jí | garbage, rubbish; shaking; danger
旦 | dàn | dawn; morning; day
亿 | yì | hundred million; many
截 | jié | cut off, stop, obstruct, intersect
币 | bì | currency, coins, legal tender
羽 | yǔ | feather, plume; wings; rad. 124
妇 | fù | married women; woman; wife
泥 | ní | mud, mire; earth, clay; plaster
欺 | qī | cheat, doublecross, deceive
弦 | xián | string; hypotenuse, crescent
筹 | chóu | chip, tally, token; raise money
舍 | shě | discard, give up willingly; give alms
忌 | jì | jealous, envious; fear
串 | chuàn | string; relatives; conspire
伸 | shēn | extend, stretch out, open up; trust
喇 | lǎ | horn, bugle; lama; final particle
耻 | chǐ | shame, humiliation; ashamed
繁 | fán | complicated, complex, difficult
廖 | liào | surname; name of an ancient state
逛 | guàng | ramble, stroll, roam, wander
劲 | jìng | strong, unyielding, tough, powerful
臭 | chòu | smell, stink, emit foul odor
鲁 | lǔ | foolish, stupid, rash; vulgar
壮 | zhuàng | big, large; robust; name of tribe
捕 | bǔ | arrest, catch, seize
穷 | qióng | poor, destitute, impoverished
拔 | bá | uproot, pull out
于 | yú | in, at, on; interjection alas!
丑 | chǒu | ugly looking, homely; disgraceful
莉 | lì | white jasmine
糟 | zāo | sediment, dregs; pickle
炸 | zhà | to fry in oil; to scald; to explode
坡 | pō | slope, bank, hillside
蒙 | méng | cover; ignorant; suffer; mongolia
腿 | tuǐ | legs, thighs
坦 | tǎn | flat, smooth; self-possessed
怒 | nù | anger, rage, passion; angry
甜 | tián | sweet, sweetness
韩 | hán | fence; surname; Korea
缓 | huǎn | slow, leisurely; to postpone, delay
悉 | xī | know, learn about, comprehend
扯 | chě | rip up, tear down; raise; haul
割 | gē | cut, divide, partition; cede
艾 | ài | artemisia, mugwort; translit.
胎 | tāi | unborn child, embryo, fetus
恒 | héng | constant, regular, persistent
玲 | líng | tinkling of jade
朵 | duǒ | cluster of flowers; earlobe
泉 | quán | spring, fountain; wealth, money
汤 | tāng | hot water; soup, gravy, broth
猛 | měng | violent, savage, cruel; bold
驾 | jià | to drive, sail, fly; a cart, carriage
幼 | yòu | infant, young child; immature
坪 | píng | level ground; Japanese measure
巫 | wū | wizard, sorcerer, witch, shaman
弯 | wān | bend, curve
胆 | dǎn | gall bladder; bravery, courage
昏 | hūn | dusk, nightfall, twilight, dark
鞋 | xié | shoes, footwear in general
怡 | yí | harmony; pleasure, joy; be glad
吐 | tǔ | vomit, spew out, cough up
唐 | táng | Tang dynasty; Chinese
悠 | yōu | long, far, remote, distant; liesurely
盾 | dùn | shield; dutch guilder; Indonesia
跃 | yuè | skip, jump, frolic
侵 | qīn | invade, encroach upon, raid
丹 | dān | cinnabar (native HgS); vermilion (artificial HgS used as pigment)
鑑 | jiàn | mirror, looking glass; reflect
泽 | zé | marsh, swamp; grace, brilliance; damp, moist; fertile
薪 | xīn | fuel, firewood; salary
逝 | shì | pass away; die
彦 | yàn | elegant, handsome; learned
后 | hòu | behind, rear, after; descendents
召 | zhào | imperial decree; summon
吕 | lǚ | surname; a musical note
碧 | bì | jade; green, blue
晨 | chén | early morning, daybreak
辨 | biàn | distinguish, discriminate
植 | zhí | plant, trees, plants; grow
痴 | chī | foolish, stupid, dumb, silly
瑰 | guī | extraordinary, fabulous; rose
钓 | diào | fish; fishhook; tempt, lure
轩 | xuān | carriage; high; wide; balcony; surname of the Yellow Emperor
勤 | qín | industrious, diligent, attentive
珠 | zhū | precious stone, gem, jewel, pearl
浓 | nóng | thick, strong, concentrated
悟 | wù | to apprehend, realize, become aware
磨 | mó | grind; polish; rub; wear out; a millstone
剪 | jiǎn | scissors; cut, divide, separate
逼 | bī | compel, pressure, force; bother
玄 | xuán | deep, profound, abstruse
暖 | nuǎn | warm, genial
躲 | duǒ | hide, secrete; avoid, escape
洛 | luò | river in Shanxi province; city
症 | zhēng | obstruction of bowels
挡 | dǎng | obstruct, impede; stop; resist
敝 | bì | break, destroy; broken, tattered
碍 | ài | obstruct, hinder, block, deter
亨 | hēng | smoothly, progressing, no trouble
逊 | xùn | humble, modest; yield
蜜 | mì | honey; sweet; nectar
盼 | pàn | look, gaze; expect, hope for
姆 | mǔ | child's governess; matron
赋 | fù | tax; give; endow; army; diffuse
彬 | bīn | cultivated, well-bred
壁 | bì | partition wall; walls of a house
缴 | jiǎo | deliver, submit; hand over
捷 | jié | win, victory, triumph
乏 | fá | lack; poor
戒 | jiè | warn, caution, admonish
憾 | hàn | to regret, remorse; dissatisfied
滴 | dī | drip; drop of water
桑 | sāng | mulberry tree; surname
菲 | fēi | fragrant, luxuriant; the Philippines
嫌 | xián | hate, detest; suspect; criticize
愉 | yú | pleasant, delightful; please
爬 | pá | crawl, creep; climb; scramble
恼 | nǎo | angered, filled with hate
删 | shān | to cut; delete, erase; to geld
叹 | tàn | sigh, admire
抵 | dǐ | resist, oppose; deny; off-set
棚 | péng | tent, awning; booth; shed
摘 | zhāi | pluck, pick; select; specify
蒋 | jiǎng | surname; hydropyrum latifalium
箭 | jiàn | arrow; type of bamboo
夕 | xī | evening, night, dusk; slanted
翁 | wēng | old man; father, father-in-law
牲 | shēng | sacrificial animal; animal
迹 | jī | search, track, trace
勉 | miǎn | endeavor, make effort; urge
莱 | lái | goosefoot, weed; fallow field
洁 | jié | clean, purify, pure
贪 | tān | greedy, covet; covetous
恰 | qià | just, exactly, precisely; proper
曰 | yuē | say; KangXi radical 73
侨 | qiáo | sojourn, lodge
沧 | cāng | blue, dark green; cold
咖 | kā | coffee; a phonetic
唷 | yō | final particle
扣 | kòu | knock, strike, rap, tap; button
采 | cǎi | gather, collect; pick, select
奔 | bēn | run fast, flee; rush about; run
泳 | yǒng | dive; swim
迹 | jī | search, track, trace
涯 | yá | shore, bank, water's edge
夺 | duó | take by force, rob, snatch
抄 | chāo | copy, confiscate, seize
疗 | liáo | be healed, cured, recover
署 | shǔ | public office
誓 | shì | swear, pledge; oath
盃 | bēi | glass, cup
骚 | sāo | harass, bother, annoy, disturb, agitate; sad, grieved
翼 | yì | wings; fins on fish; shelter
屠 | tú | butcher, slaughter, massacre
咪 | mī | sound of cat, cat's meow; meter; (Cant.) don't!
雾 | wù | fog, mist, vapor, fine spray
涉 | shè | ford stream, wade across
锺 | zhōng | (surname)
踢 | tī | kick
谋 | móu | plan, scheme; strategem
牺 | xī | sacrifice, give up; sacrificial
焦 | jiāo | burned, scorched; anxious, vexed
涵 | hán | soak, wet; tolerate, be lenient
础 | chǔ | foundation stone, plinth
绕 | rào | entwine; wind around; surround
俱 | jù | all, together; accompany
霹 | pī | thunder, crashing thunder
坜 | lì | 
唬 | hǔ | to intimidate; to scare
氏 | shì | clan, family; mister
彻 | chè | penetrate, pervade; penetrating
吝 | lìn | stingy, miserly, parsimonious
曼 | màn | long, extended, vast; beautiful
寿 | shòu | old age, long life; lifespan
粉 | fěn | powder, face powder; plaster
廉 | lián | upright, honorable, honest
炎 | yán | flame, blaze; hot
祸 | huò | misfortune, calamity, disaster
耗 | hào | consume, use up; waste, squander
炮 | pào | large gun, cannon; artillery
啡 | pēi | morphine; coffee
肚 | dù | belly; abdomen; bowels
贡 | gòng | offer tribute; tribute, gifts
鼻 | bí | nose; first; KangXi radical 209
挖 | wā | dig, dig out, gouge out, scoop
貌 | mào | countenance, appearance
捐 | juān | contribute; give up, renounce
融 | róng | melt, fuse; blend, harmonize
筋 | jīn | muscles; tendons
云 | yún | clouds; Yunnan province
稣 | sū | revive, to rise again; collect
捡 | jiǎn | to pick up
饱 | bǎo | eat heartily; eat one's fill
铃 | líng | bell
雳 | lì | thunderclap, crashing thunder
鸣 | míng | cry of bird or animal; make sound
奉 | fèng | offer; receive; serve; respect
燃 | rán | burn; light fire, ignite
饰 | shì | decorate, ornament, adorn; to deceive
绘 | huì | draw, sketch, paint
黎 | lí | surname; numerous, many; black
卷 | juàn | scroll; curl; make a comeback
恢 | huī | restore; big, great, immense, vast
瞧 | qiáo | glance at, look at, see
茫 | máng | vast, boundless, widespread
