
丫 | yā | forked; bifurcation
鹦 | yīng | parrot
蒹 | jiān | reed, phragmites communis
憩 | qì | rest, take rest
懊 | ào | vexed, worried, nervous; regret
聋 | lóng | deaf
盎 | àng | cup; pot; bowl; abundant
婊 | biǎo | whore, prostitute
盔 | kuī | helmet; bowl; basin
峦 | luán | mountain range; pointed mountain
矜 | jīn | pity, feel sorry for, show sympat
凛 | lǐn | shiver with cold or fear, fearful
铺 | pū | spread out, arrange; shop, store; place to sleep, bed
鹉 | wǔ | species of parrot
蜴 | yì | lizard
惚 | bū | absent-minded, confused
畴 | chóu | farmland, arable land; category
羁 | jī | halter; restrain, hold, control
媛 | yuàn | beauty, beautiful woman
堑 | qiàn | moat, trench, pit, cavity
泛 | fàn | to drift, float; careless, reckless
疮 | chuāng | tumor, boil, sore, wound
韶 | sháo | music of the emperor Shun; beautiful
憋 | biē | to suppress inner feelings; hasty
祁 | qí | pray; numerous, ample, abundant
诟 | gòu | abuse, scold, berate, insult
搔 | sāo | to scratch
蜥 | xī | lizard
袒 | tǎn | strip; lay bare; bared; naked
奄 | yǎn | ere long; remain, tarry; feeble
忱 | chén | truth, sincerity; sincere
玖 | jiǔ | black-colored jade
拌 | bàn | mix
悴 | cuì | suffer, become emaciated, haggard
祠 | cí | ancestral temple; offer sacrifice
扼 | è | grasp, clutch; choke, strangle
髅 | lóu | skull; skeleton
筑 | zhú | build, erect; building
蛤 | há | clam
茱 | zhū | dogwood
骐 | qí | piebald horse; excellent horse
捶 | chuí | strike with stick, lash, beat
须 | xū | beard, whiskers; whisker-like
亢 | kàng | high, proud; violent, excessive; skilled; name
葔 | hóu | 
艸 | cǎo | grass; KangXi radical 140
筛 | shāi | sieve, filter, screen; sift
岳 | yuè | mountain peak; surname
岳 | yuè | mountain peak; surname
慵 | yōng | indolent, easy-going, lazy
戮 | lù | kill, massacre; oppress
跎 | tuó | slip, stumble, falter; vacillate
砰 | pēng | sound of crashing stones, bang!
仑 | lún | logical reasons, logical order
炜 | wěi | brilliant red; glowing
篱 | lí | bamboo or wooden fence; hedge
笈 | jí | bamboo box used carry books
瘫 | tān | paralysis, palsy, numbness
吏 | lì | government official, magistrate
痊 | quán | be healed, be cured; recover
庶 | shù | numerous, various; multitude
厥 | jué | personal pronoun he, she, it
棘 | jí | jujube tree; thorns, brambles
娑 | suō | dance, frolic; lounge; saunter
沁 | qìn | soak into, seep in, percolate
窘 | jiǒng | embarrassed; hard-pressed
鲸 | jīng | whale
缕 | lǚ | thread; detailed, precise
硷 | jiǎn | alkaline, alkali, lye, salt
俨 | yǎn | grave, respectful, majestic
栈 | zhàn | warehouse; tavern, inn
蔬 | shū | vegetables, greens
鸠 | jiū | pigeon, dove; collect, assemble
闲 | xián | fence, barrier; defend; idle time
迢 | tiáo | far; distant
恣 | zì | indulge oneself, unrestrained
昀 | yún | sun light; used in personal names
泠 | líng | nice and cool, mild and comfortable
涟 | lián | flowing water; ripples; weeping
眩 | xuàn | to confuse; dizzy, dazed, disoriented
噫 | yī | belch; alas
娥 | é | be beautiful; good; surname
荼 | tú | bitter vegetable
鳄 | è | crocodile, alligator
镖 | biāo | dart, spear, harpoon; escort
侃 | kǎn | upright and strong; amiable
虏 | lǔ | to capture, imprison, seize; a prison
俾 | bǐ | so that, in order that; cause
樟 | zhāng | camphor tree
榴 | liú | pomegranate
咛 | níng | enjoin, instruct; charge
炬 | jù | torch
窦 | dòu | surname; hole, burrow; corrupt
笠 | lì | bamboo hat; bamboo covering
翱 | áo | soar, roam
莘 | xīn | long; numerous; a marsh plant whose root is used for medicine
躇 | chú | hesitate, falter, be undecided
翡 | fěi | kingfisher; emerald, jade
姜 | jiāng | surname; ginger
枭 | xiāo | owl thus, something evil
匕 | bǐ | spoon, ladle; knife, dirk
藩 | fán | fence; boundary; outlying border
徉 | yáng | wonder, rove, stray; hesitating
觞 | shāng | wine vessel; propose toast; feast
拣 | jiǎn | choose; select; pick up; gather
吱 | zhī | chirping, squeaking, hissing
皈 | guī | follow, comply with
墉 | yōng | wall; fortified wall; small wall
傌 | mà | to curse, to revile, to abuse; to scold
梢 | shāo | pointed tip of something long like a branch; rudder
巅 | diān | summit of mountain, mountain top
踌 | chóu | hesitate, falter; smug, self-satisfied
萌 | méng | bud, sprout
幌 | huǎng | curtain, cloth screen
杭 | háng | cross stream; navigate
侥 | jiǎo | be lucky; by chance, by luck
栾 | luán | name of tree; a part of cornice
奠 | diàn | pay respect; settle
痲 | má | pock-marked; leprosy; measles
夸 | kuā | exaggerate; brag, boast; flaunt
瘖 | yīn | dumb, mute, unable speak
芯 | xīn | pith from rush (juncus effusus)
蟀 | shuài | cricket
驿 | yì | relay station
耨 | nòu | hoe, rake; weed
禾 | hé | grain still on stalk; rice plant
瑾 | jǐn | brilliance of gems; fine jade
塾 | shú | village school; private tutorage
俭 | jiǎn | temperate, frugal, economical
沱 | tuó | rivers, streams, waterways; flow
腺 | xiàn | gland
橱 | chú | cabinet, wardrobe, cupboard
僵 | jiāng | stiff and motionless, stock still
惋 | wǎn | regret, be sorry; alarmed
擞 | sǒu | shake, tremble, quake; flutter
噗 | pū | burst
呛 | qiāng | choke by smoke; irritates nose
抴 | yì | 
蛀 | zhù | insects that eat books, clothes
渲 | xuàn | add repeated washes of color
酋 | qiú | chief of tribe, chieftain
跆 | tái | trample
埸 | yì | a border; a limit; a dike; a frontier; a boundary
嬉 | xī | enjoy; play, amuse oneself
怆 | chuàng | sad, broken-hearted, disconsolate
噶 | gé | used in transliterations
耙 | pá | rake
憔 | qiáo | be worn-out, emaciated, haggard
挠 | náo | scratch; disturb, bother; submit
羲 | xī | ancient emperor; breath, vapor
扑 | pū | pound, beat, strike; attack
