
僮 | tóng | page, boy servant
玆 | zī | now, here; this; time, year
衲 | nà | mend, sew, patch; line; quilt
杳 | yǎo | obscure, dark, mysterious, deep
姒 | sì | wife of elder brother
嬿 | yàn | lovely
忪 | zhōng | quiet, calm, tranquil, peaceful
鲲 | kūn | spawn; roe; fy
槁 | gǎo | wither; withered, rotten, dead
馋 | chán | gluttonous, greedy; lewd, lecherous
甡 | shēng | abundant, numerous; crowd
癞 | lài | leprosy, scabies, mange; shoddy
咋 | zhà | question-forming particle, why? how? what?; to bite; loud
翌 | yì | bright; daybreak, dawn; the next day
栱 | gǒng | large peg, stake; post, pillar
唠 | láo | chat, jaw, gossip, talk
轶 | yì | rush forth; surpass, excel
驮 | tuó | carry on back
铬 | gè | chromium
驽 | nú | tired, old horse; old, weak
阜 | fù | mound; abundant, ample, numerous
啐 | cuì | to taste, to sip; to spit; the sound of sipping; to surprise
猷 | yóu | plan, scheme; plan, plot; way
癈 | fèi | abrogate, terminate, discard
蝨 | shī | louse; bed bug
淂 | dé | 
楹 | yíng | column, pillar; numerary adjunct
氨 | ān | ammonia; hydrogen nitride
菅 | jiān | coarse grass, themedia forskali
泞 | nìng | mud; miry, muddy, stagnant
戟 | jǐ | halberd with crescent blade
拮 | jié | laboring hard, occupied; pursue
踞 | jù | crouch, squat; sit, occupy
忐 | tǎn | timorous; nervous
骅 | huá | an excellent horse
彧 | yù | refined, cultured, polished
纰 | pí | spoiled silk; hem of dress; mista
坛 | tán | an earthenware jar, a jug
郢 | yǐng | state in today's Hubei province
聒 | guā | clamor, din, hubbub
跚 | shān | stagger, limp
犛 | lí | a black ox, a yak
驷 | sì | team of four horses
姣 | jiāo | beautiful, handsome, pretty
谪 | zhé | charge, blame; disgrace; demote; punish
堐 | yá | 
忑 | tè | fearful; nervous; timid
焊 | hàn | weld, solder
饷 | xiǎng | rations and pay for soldiers
钠 | nà | sodium, natrium; sharpen wood
娄 | lóu | surname; a constellation; to wear
倭 | wēi | dwarf; dwarfish, short
胭 | yān | rouge, cosmetics
邋 | lá | rags
秧 | yāng | rice seedlings, young rice plants
恻 | cè | feel anguish, feel compassion
宸 | chén | imperial; imperial palace
鲈 | lú | sea perch, sea bass
妤 | yú | beautiful, fair, handsome
椿 | chūn | father; a plant with white flowers
锂 | lǐ | lithium
猬 | wèi | hedgehog
嶙 | lín | precipitous
醺 | xūn | get drunk, be intoxicated
啵 | bo | 
嘈 | cáo | noisy
逖 | tì | far, distant; keep at distance
涘 | sì | river bank; water's edge
爿 | qiáng | half of tree trunk; rad. no. 90
卤 | lǔ | saline soil; natural salt, rock
鮀 | tuó | snakefish
滕 | téng | an ancient state in Shandong province; water bursting forth
荪 | sūn | aromatic grass; iris, flower
殡 | bìn | encoffin; embalm; funeral
嫦 | cháng | name of a moon goddess
臧 | záng | good, right, generous; command
峋 | xún | ranges of hills stretching on beyond another irregular peaks
坻 | chí | an islet, a rock in a river; an embankment; to stop
暾 | tūn | morning sun, sunrise
阋 | xì | feud, fight, quarrel
钘 | xíng | ancient wine vessel
俎 | zǔ | chopping board or block; painted
据 | jù | to occupy, take possession of; a base
蜒 | yán | millipede
褉 | xiē | short garments
邑 | yì | area, district, city, state
缈 | miǎo | indistinct, dim; minute; distant
涎 | xián | saliva
沚 | zhǐ | islet in stream; small sandbar
沪 | hù | Shanghai; river near Shanghai
綵 | cǎi | varicolored silk; variegated
袓 | jǔ | 
轫 | rèn | a block that keeps a wheel from moving
蛢 | píng | 
捺 | nà | to press down heavily with the fingers
拴 | shuān | bind with rope, fasten
耆 | qí | man of sixty; aged, old
柑 | gān | tangerine, loose-skinned orange
颍 | yǐng | river in Anhui
浚 | jùn | dredge
喟 | kuì | heave sigh, sigh
棣 | dì | kerria japonica plant, cherry
嗷 | áo | loud clamor; sound of wailing
熨 | yùn | iron, press
挓 | zhā | to open out; to expand
甕 | wèng | earthen jar; jar for ashes
槐 | huái | locust tree
娩 | miǎn | give birth child; complaisant
镴 | là | solder; tin
蕤 | ruí | drooping leaves; fringe soft, delicate
腋 | yì | armpit
瘁 | cuì | feel tired, be weary, be worn out
铿 | kēng | strike, beat, stroke; jingling
澍 | shù | timely rain, life-giving rain
莠 | yǒu | weeds, tares; undesirable, evil
糸 | mì | silk; KangXi radical 120
悌 | tì | brotherly, respectful
勺 | sháo | spoon, ladle; unit of volume
涌 | yǒng | surge up, bubble up, gush forth
枰 | píng | smooth board; chessboard; chess
伝 | chuán | summon; propagate, transmit
锌 | xīn | zincum
饴 | yí | sweet-meats; sweet-cakes; syrup
幡 | fān | pennant, banner, streamer, flag
铄 | shuò | melt, smelt; shine
胯 | kuà | pelvis; groin; thighs
岌 | jí | perilous, hazardous; high, steep
痢 | lì | dysentery
姝 | shū | a beautiful girl
诳 | kuáng | deceive, lie, delude, cheat
醃 | yān | marinate, pickle; salt
瞠 | chēng | look at, stare at, gaze at
晡 | bū | late afternoon
獠 | liáo | to hunt at night by torches
膫 | liáo | the fat covering the intestines; the omentum
腮 | sāi | lower part of face; jaw; gills of a fish
唰 | shuā | 
