爸爸爱妈妈。|/Bàba ài māmā/|Dad loves Mom.
我爱好打篮球。|/Wǒ àihào dǎ lánqiú/|I love playing basketball.
我的爱好是听音乐。|/Wǒ de àihào shì tīng yīnyuè/|My hobby is listening to music.
他买了八个苹果。|/Tā mǎi le bā gè píngguǒ/|He bought eight apples.
他是我的爸爸。|/Tā shì wǒ de bàba/|He is my father.
我们去公园玩儿吧。|/Wǒmen qù gōngyuán wán er ba/|Let's go to the park.
我姐姐的皮肤很白。|/Wǒ jiějiě de pífū hěn bái/|My sister has very fair skin.
早睡吧，你白天还要去上课。|/Zǎo shuì ba, nǐ báitiān hái yào qù shàngkè/|Go to bed early, you still have classes during the day.
我有一百块钱。|/Wǒ yǒu yībǎi kuài qián/|I have one hundred dollars.
我们班有四十五个学生。|/Wǒmen bān yǒu sìshíwǔ gè xuéshēng/|There are forty-five students in our class.
我来上海学习已经有半年了。|/Wǒ lái shànghǎi xuéxí yǐjīng yǒu bànnián le/|I have been studying in Shanghai for half a year now.
他经常帮我做家务。|/Tā jīngcháng bāng wǒ zuò jiāwù/|He often helps me with housework.
你可以来帮忙吗？|/Nǐ kěyǐ lái bāngmáng ma?/|Can you come and help?
妈妈在包饺子。|/Māma zài bāo jiǎozǐ/|Mom is making dumplings.
我今天早上吃了两个包子。|/Wǒ jīntiān zǎoshang chī le liǎng gè bāozǐ/|I ate two steamed buns this morning.
这个杯子太小了。|/Zhège bēizǐ tài xiǎole/|This cup is too small.
我们一直往北走吧。|/Wǒmen yīzhí wǎng běi zǒu ba/|Let's keep heading north.
北边的天气很冷。|/Běibian de tiānqì hěn lěng/|The weather is very cold in the north.
北京是中国的首都。|/Běijīng shì zhōngguó de shǒudū/|Beijing is the capital of China.
你读过这本书了吗？|/Nǐ dúguò zhè běn shū le ma?/|Have you read this book?
我哥哥比我高。|/Wǒ gēge bǐ wǒ gāo/|My brother is taller than me.
我不要别的，只要那支钢笔。|/Wǒ bùyào bié de, zhǐyào nà zhī gāngbǐ/|I don't want anything else, I just want that pen.
这本书可能是别人的。|/Chúle Xiǎo Lì yǐwài, biérén dōu bù yuànyì qù/|This book may belong to someone else.
我生病了。|/Wǒ shēng bìng le/|I am sick.
王医生每天都要看十到二十位病人。|/Wáng yīshēng měitiān dōu yào kàn shí dào èrshí wèi bìngrén/|Dr. Wang sees ten to twenty patients every day.
这个房间不大。|/Zhège fángjiān bù dà/|This room is not big.
你的答案不对。|/Nǐ de dá'àn bù duì/|Your answer is incorrect.
你不用担心。|/Nǐ búyòng dānxīn/|You don't need to worry.
