爸爸爱妈妈。	/Bàba ài māmā/	Ba yêu mẹ.
我爱好打篮球。	/Wǒ àihào dǎ lánqiú/	Tôi thích chơi bóng rổ.
我的爱好是听音乐。	/Wǒ de àihào shì tīng yīnyuè/	Sở thích của tôi là nghe nhạc.
他买了八个苹果。	/Tā mǎi le bā gè píngguǒ/	Anh ấy đã mua tám quả táo.
他是我的爸爸。	/Tā shì wǒ de bàba/	Ông ấy là ba của tôi.
我们去公园玩儿吧。	/Wǒmen qù gōngyuán wán er ba/	Chúng mình đi công viên chơi nhé.
我姐姐的皮肤很白。	/Wǒ jiějiě de pífū hěn bái/	Da của chị tôi rất trắng.
早睡吧，你白天还要去上课。	/Zǎo shuì ba, nǐ báitiān hái yào qù shàngkè/	Ngủ sớm đi, bạn ban ngày còn phải đi học.
我有一百块钱。	/Wǒ yǒu yībǎi kuài qián/	Tôi có một trăm tệ.
我们班有四十五个学生。	/Wǒmen bān yǒu sìshíwǔ gè xuéshēng/	Lớp của chúng tôi có 45 học sinh.
我来上海学习已经有半年了。	/Wǒ lái shànghǎi xuéxí yǐjīng yǒu bànnián le/	Tôi đến Thượng Hải học đã được nửa năm.
他经常帮我做家务。	/Tā jīngcháng bāng wǒ zuò jiāwù/	Anh ấy thường giúp tôi làm việc nhà.
你可以来帮忙吗？	/Nǐ kěyǐ lái bāngmáng ma?/	Bạn có thể lại giúp đỡ không?
妈妈在包饺子。	/Māma zài bāo jiǎozǐ/	Mẹ đang gói sủi cảo.
我今天早上吃了两个包子。	/Wǒ jīntiān zǎoshang chī le liǎng gè bāozǐ/	Sáng nay tôi đã ăn 2 cái bánh bao.
这个杯子太小了。	/Zhège bēizǐ tài xiǎole/	Cái ly này quá nhỏ.
我们一直往北走吧。	/Wǒmen yīzhí wǎng běi zǒu ba/	Chúng ta cứ đi về phía bắc đi.
北边的天气很冷。	/Běibian de tiānqì hěn lěng/	Thời tiết của phương bắc rất lạnh.
北京是中国的首都。	/Běijīng shì zhōngguó de shǒudū/	Bắc Kinh là thủ đô của Trung Quốc.
你读过这本书了吗？	/Nǐ dúguò zhè běn shū le ma?/	Bạn đã đọc cuốn sách này chưa?
我哥哥比我高。	/Wǒ gēge bǐ wǒ gāo/	Anh trai tôi cao hơn tôi.
我不要别的，只要那支钢笔。	/Wǒ bùyào bié de, zhǐyào nà zhī gāngbǐ/	Tôi không cần cái nào khác, chỉ cần cây bút đó.
这本书可能是别人的。	/Chúle Xiǎo Lì yǐwài, biérén dōu bù yuànyì qù/	Ngoại trừ Tiểu Lệ ra, những người khác đều không muốn đi.
我生病了。	/Wǒ shēng bìng le/	Tôi bị bệnh rồi.
王医生每天都要看十到二十位病人。	/Wáng yīshēng měitiān dōu yào kàn shí dào èrshí wèi bìngrén/	Bác sĩ Vương mỗi ngày đều phải khám từ 10 đến 20 bệnh nhân.
这个房间不大。	/Zhège fángjiān bù dà/	Căn phòng này không lớn.
你的答案不对。	/Nǐ de dá'àn bù duì/	Đáp án của bạn không đúng.
你不用担心。	/Nǐ búyòng dānxīn/	Bạn không cần phải lo lắng.
我不喜欢吃辣。	/Wǒ bù xǐhuān chī là/	Tôi không thích ăn cay.
今天的菜很好吃。	/Jīntiān de cài hěn hǎo chī/	Món ăn của hôm nay rất ngon.
我喜欢喝茶。	/Wǒ xǐhuān hē chá/	Tôi thích uống trà.
他今天状态很差。	/Tā jīntiān zhuàngtài hěn chà/	Trạng thái của anh hôm nay rất tệ.
我常去跑步。	/Wǒ cháng qù pǎobù/	Tôi thường xuyên chạy bộ.
你尝尝这个菜。	/Nǐ cháng cháng zhège cài/	Bạn hãy nếm thử món ăn này.
她唱太好了，大家都起立鼓掌。	/Tā chàng tài hǎo le, dàjiā dōu qǐlì gǔzhǎng/	Cô ấy hát rất hay, mọi người đều đứng dậy vỗ tay.
我家邻居昨天一直不停地唱歌。	/Wǒjiā línjū zuótiān yīzhí bù tíng de chànggē/	Ngày hôm qua hàng xóm của tôi ca hát không ngừng.
我们开车去旅行。	/Wǒmen kāichē qù lǚxíng/	Chúng tôi lái xe đi du lịch.
快过年了，你买火车票了吗？	/Kuài guò nián le, nǐ mǎi huǒchē piào huí jiā le ma?/	Tết sắp đến rồi, bạn đã mua vé tàu về nhà chưa?
她在车上学英语。	/Tā zài chē shàng xué yīngyǔ/	Cô ấy học tiếng Anh trên xe.
车站离这里不远。	/Chēzhàn lí zhè lǐ bù yuǎn/	Trạm xe cách đây không xa.
我喜欢吃苹果。	/Wǒ xǐhuan chī píngguǒ/	Tôi thích ăn táo.
我们一起去吃饭吧。	/Wǒmen yīqǐ qù chīfàn ba/	Chúng ta cùng nhau đi ăn cơm nhé.
他出去买东西了。	/Tā chū qù mǎi dōngxi le/	Anh ấy ra ngoài mua đồ ăn rồi.
你出来，我跟你说句话。	/Nǐ chūlái，wǒ gēn nǐ shuō jù huà/	Anh ra đây tôi nói chuyện với anh.
我们一起出去玩儿吧。	/Wǒmen yīqǐ chūqù wánr ba/	Chúng ta cùng nhau đi chơi đi.
今天我穿了件新衣服。	/Jīntiān wǒ chuān le jiàn xīn yīfu/	Hôm nay tôi mặc quần áo mới.
我很累，想躺在床上。	/Wǒ hěn lèi, xiǎng tǎng zài chuáng shàng/	Tôi rất mệt, muốn nằm trên giường.
这是我第一次来这里。	/Zhè shì wǒ dì yī cì lái zhè lǐ/	Đây là lần đầu tiên tôi đến đây.
我从家里走到学校。	/Wǒ cóng jiālǐ zǒu dào xuéxiào/	Tôi đi bộ từ nhà đến trường.
你做错了。	/Nǐ zuò cuò le/	Bạn làm sai rồi.
我弟弟在打篮球。	/Wǒ dìdi zài dǎqiú/	Em trai tôi đang chơi bóng rổ.
我们打车去机场。	/Wǒmen dǎ chē qù jīchǎng/	Chúng ta bắt xe đến sân bay.
等一下，我要打电话问问。	/Děng yīxià, wǒ yào dǎ diànhuà wèn wèn/	Đợi chút nha, tôi cần gọi điện thoại hỏi thăm.
请你把门打开。	/Qǐng nǐ bǎ mén dǎkāi/	Xin bạn hãy mở cửa ra.
他们很喜欢打球。	/Tā xǐhuān dǎ lánqiú/	Cậu ấy thích chơi bóng rổ.
这个房子很大。	/Zhège fángzi hěn dà/	Căn nhà này rất lớn.
他在北京大学学习。	/Tā zài Běijīng dàxué xuéxí/	Anh ấy học ở Đại học Bắc Kinh.
我是大学生。	/Wǒ shì dàxuéshēng/	Tôi là sinh viên đại học.
我们到达了目的地。	/Wǒmen dàodá le mùdìdì/	Chúng ta đã đến nơi.
他得到了奖学金。	/Tā dédào le jiǎngxuéjīn/	Anh ấy đã nhận được học bổng.
孩子们快乐地唱歌。	/Háizimen kuàilè de chànggē/	Mấy đứa nhỏ vui vẻ hát ca.
